routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
539,Santos Dumount,10070998,10:23,1,0,0,0,2024-11-02,-43.34476793,-21.76163378,10:23:26,"Avenida Getúlio Vargas, 207"
539,Santos Dumount,10072763,10:23,2,2,0,2,2024-11-02,-43.34768295,-21.76537704,10:24:46,"Avenida Presidente Itamar Franco, 986"
539,Santos Dumount,10072757,10:23,3,0,0,2,2024-11-02,-43.35034538,-21.76838477,10:28:06,"Avenida Presidente Itamar Franco, 1622"
539,Santos Dumount,10073013,10:23,4,0,0,2,2024-11-02,-43.35187101,-21.77073128,10:29:06,"Avenida Presidente Itamar Franco, 1840"
539,Santos Dumount,10072909,10:23,5,0,0,2,2024-11-02,-43.35514824,-21.77467451,10:30:45,"Avenida Presidente Itamar Franco, 2360"
539,Santos Dumount,10072961,10:23,6,0,0,2,2024-11-02,-43.35676165,-21.77592644,10:31:05,"Avenida Presidente Itamar Franco, 2520"
539,Santos Dumount,10072987,10:23,7,1,0,3,2024-11-02,-43.3590889,-21.77818298,10:32:05,"Avenida Presidente Itamar Franco, 3050"
539,Santos Dumount,10072903,10:23,8,0,0,3,2024-11-02,-43.36231995,-21.78243765,10:34:05,"Avenida Presidente Itamar Franco, 3500"
539,Santos Dumount,10072902,10:23,9,0,0,3,2024-11-02,-43.36107635,-21.78159332,10:34:56,"Avenida Presidente Itamar Franco, 3700 - Independência Shopping"
539,Santos Dumount,10072908,10:23,10,0,0,3,2024-11-02,-43.36491417,-21.78121903,10:36:25,"Avenida Presidente Itamar Franco, 4000"
539,Santos Dumount,10073855,10:23,11,0,1,2,2024-11-02,-43.36938095,-21.783144,10:39:05,"Avenida Dom Orione, 300"
539,Santos Dumount,10073796,10:23,12,0,1,1,2024-11-02,-43.37064381,-21.78358206,10:39:25,"Avenida Dom Orione, 610 - Embrapa"
539,Santos Dumount,10074586,10:23,13,0,0,1,2024-11-02,-43.37455673,-21.78506729,10:40:05,"Avenida Eugênio do Nascimento, 240"
539,Santos Dumount,10073879,10:23,14,0,0,1,2024-11-02,-43.37603199,-21.785893,10:40:45,"Avenida Eugênio do Nascimento, 290"
539,Santos Dumount,10073883,10:23,15,0,0,1,2024-11-02,-43.37642807,-21.78741772,10:41:01,"Avenida Eugênio do Nascimento, 1350"
539,Santos Dumount,10366698,10:23,16,0,0,1,2024-11-02,-43.37889353,-21.78856074,10:41:44,"Avenida Eugênio do Nascimento, 530"
539,Santos Dumount,10366693,10:23,17,0,0,1,2024-11-02,-43.38132356,-21.78690275,10:42:04,"Avenida Eugênio do Nascimento, 830"
539,Santos Dumount,10073756,10:23,18,0,0,1,2024-11-02,-43.38266826,-21.787817,10:42:24,"Avenida Eugênio do Nascimento, 4324"
539,Santos Dumount,10395505,10:23,19,0,0,1,2024-11-02,-43.38291644,-21.78781667,10:43:04,"Rua José Apolônio dos Reis, 251"
539,Santos Dumount,10073757,10:23,20,0,0,1,2024-11-02,-43.38261855,-21.78621113,10:43:24,"Rua José Apolônio dos Reis, 335"
539,Santos Dumount,10073774,10:23,21,0,0,1,2024-11-02,-43.3833369,-21.78374342,10:43:54,"Rua Álvaro José Rodrigues, 3701"
