routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
249,Marumbi(Av. Rio Branco),05:25,1,0,0,0,2024-11-02,-43.34025753,-21.72898114,"Rua Manoel Gonçalves Coelho, 155 - Ponto Final do Marumbi"
249,Marumbi(Av. Rio Branco),05:25,2,5,0,5,2024-11-02,-43.34047318,-21.73038292,"Rua Marumbi, 675"
249,Marumbi(Av. Rio Branco),05:25,3,0,0,5,2024-11-02,-43.34186935,-21.7305336,"Rua Marumbi, 527"
249,Marumbi(Av. Rio Branco),05:25,4,0,1,4,2024-11-02,-43.3429451,-21.73087502,"Rua Marumbi, 409"
249,Marumbi(Av. Rio Branco),05:25,5,0,1,3,2024-11-02,-43.3438356,-21.73161975,"Rua Marumbi, 291"
249,Marumbi(Av. Rio Branco),05:25,6,0,0,3,2024-11-02,-43.34443665,-21.7323494,"Rua Marumbi, 193"
249,Marumbi(Av. Rio Branco),05:25,7,0,0,3,2024-11-02,-43.34487653,-21.73385903,"Rua José Sevarolli, 951"
249,Marumbi(Av. Rio Branco),05:25,8,0,0,3,2024-11-02,-43.34487724,-21.73453448,"Rua Barão do Retiro, 877"
249,Marumbi(Av. Rio Branco),05:25,9,0,0,3,2024-11-02,-43.34556007,-21.73661633,"Rua Barão do Retiro, 657"
249,Marumbi(Av. Rio Branco),05:25,10,4,0,7,2024-11-02,-43.34600449,-21.73820686,"Rua Barão do Retiro, 461"
249,Marumbi(Av. Rio Branco),05:25,11,0,0,7,2024-11-02,-43.3474257,-21.73826156,"Rua Américo Lobo, 1895"
249,Marumbi(Av. Rio Branco),05:25,12,0,0,7,2024-11-02,-43.34877014,-21.74048424,"Rua Américo Lobo, 1611"
249,Marumbi(Av. Rio Branco),05:25,13,1,0,8,2024-11-02,-43.35047913,-21.74190521,"Rua Américo Lobo, 1355"
249,Marumbi(Av. Rio Branco),05:25,14,0,0,8,2024-11-02,-43.35154343,-21.74248505,"Rua Américo Lobo, 1241"
249,Marumbi(Av. Rio Branco),05:25,15,1,2,7,2024-11-02,-43.3528595,-21.74289131,"Rua Américo Lobo, 1093"
249,Marumbi(Av. Rio Branco),05:25,16,0,2,5,2024-11-02,-43.35439063,-21.74372606,"Avenida Barão do Rio Branco, 510"
249,Marumbi(Av. Rio Branco),05:25,17,0,0,5,2024-11-02,-43.35329926,-21.74750417,"Avenida Barão do Rio Branco, 950"
249,Marumbi(Av. Rio Branco),05:25,18,1,0,6,2024-11-02,-43.35280842,-21.74943617,"Avenida Barão do Rio Branco, 1200"
249,Marumbi(Av. Rio Branco),05:25,19,5,1,10,2024-11-02,-43.35045248,-21.75856372,"Avenida Barão do Rio Branco, 1896"
249,Marumbi(Av. Rio Branco),05:25,20,2,0,12,2024-11-02,-43.34955791,-21.76209017,"Avenida Barão do Rio Branco, 2300"
249,Marumbi(Av. Rio Branco),05:25,21,0,2,10,2024-11-02,-43.34887789,-21.76458928,"Avenida Barão do Rio Branco, 2570"
249,Marumbi(Av. Rio Branco),05:25,22,0,2,8,2024-11-02,-43.34809429,-21.7676287,"Avenida Barão do Rio Branco, 2900"
249,Marumbi(Av. Rio Branco),05:25,23,0,0,8,2024-11-02,-43.34686512,-21.7723829,"Avenida Barão do Rio Branco, 3470"
249,Marumbi(Av. Rio Branco),05:25,24,0,1,7,2024-11-02,-43.34602082,-21.77546245,"Avenida Barão do Rio Branco, 3820"
249,Marumbi(Av. Rio Branco),05:25,25,0,0,7,2024-11-02,-43.34546709,-21.77781832,"Avenida Barão do Rio Branco, 4100"
249,Marumbi(Av. Rio Branco),05:25,26,0,0,7,2024-11-02,-43.34500617,-21.77986796,"Avenida Barão do Rio Branco, 4318"
249,Marumbi(Av. Rio Branco),05:25,27,0,1,6,2024-11-02,-43.34457066,-21.78153371,"Avenida Barão do Rio Branco, 4476"
249,Marumbi(Av. Rio Branco),05:25,28,0,2,4,2024-11-02,-43.34418451,-21.78282758,"Avenida Barão do Rio Branco, 4900"
