routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
721,NOVA ERA,07:17,1,0,0,0,2024-11-05,-43.42550123,-21.71126556,"Rua Salvador Del Duca, 363 - Ponto Final da Linha 721"
721,NOVA ERA,07:17,2,1,0,1,2024-11-05,-43.42572773,-21.70999952,"Rua Salvador Del Duca, 775"
721,NOVA ERA,07:17,3,1,0,2,2024-11-05,-43.42597961,-21.70870972,"Rua Salvador Del Duca, 725"
721,NOVA ERA,07:17,4,0,0,2,2024-11-05,-43.42617035,-21.70775414,"Rua Salvador Del Duca, 633"
721,NOVA ERA,07:17,5,0,0,2,2024-11-05,-43.42632079,-21.70690155,"Rua Salvador Del Duca, 585"
721,NOVA ERA,07:17,6,0,0,2,2024-11-05,-43.42661667,-21.70528984,"Rua Salvador Del Duca, 451"
721,NOVA ERA,07:17,7,0,1,1,2024-11-05,-43.42677153,-21.70431371,"Rua Salvador Del Duca, 343"
721,NOVA ERA,07:17,8,0,1,0,2024-11-05,-43.4251634,-21.70098843,"Rua General Almerindo da Silva Gomes, 149"
721,NOVA ERA,07:17,9,0,0,0,2024-11-05,-43.42426146,-21.70098964,"Avenida Doutor Bezerra de Menezes, 36"
721,NOVA ERA,07:17,10,0,0,0,2024-11-05,-43.42285586,-21.702528,"Avenida Doutor Bezerra de Menezes, 318"
721,NOVA ERA,07:17,11,0,0,0,2024-11-05,-43.4214592,-21.70384478,"Avenida Doutor Bezerra de Menezes, 480"
721,NOVA ERA,07:17,12,1,0,1,2024-11-05,-43.42037916,-21.70498116,"Avenida Doutor Bezerra de Menezes, 640"
721,NOVA ERA,07:17,13,1,0,2,2024-11-05,-43.41919947,-21.70616824,"Avenida Doutor Bezerra de Menezes, 790"
721,NOVA ERA,07:17,14,0,0,2,2024-11-05,-43.41814178,-21.70724866,"Avenida Doutor Bezerra de Menezes, 940"
721,NOVA ERA,07:17,15,0,1,1,2024-11-05,-43.41695404,-21.70773125,"Rua Tenente Guimarães, 51"
721,NOVA ERA,07:17,16,1,1,1,2024-11-05,-43.41618145,-21.70808879,"Avenida Presidente Juscelino Kubitschek, 4455"
721,NOVA ERA,07:17,17,0,1,0,2024-11-05,-43.41508102,-21.71011543,"Avenida Presidente Juscelino Kubitschek, 4201"
721,NOVA ERA,07:17,18,6,0,6,2024-11-05,-43.41021657,-21.71345723,"Avenida Presidente Juscelino Kubitschek, 3689"
721,NOVA ERA,07:17,19,6,0,12,2024-11-05,-43.40774536,-21.71470261,"Avenida Presidente Juscelino Kubitschek, 3401"
721,NOVA ERA,07:17,20,0,0,12,2024-11-05,-43.40533066,-21.71630669,"Avenida Presidente Juscelino Kubitschek, 3201"
721,NOVA ERA,07:17,21,0,0,12,2024-11-05,-43.40091324,-21.71881294,"Avenida Presidente Juscelino Kubitschek, 2943"
721,NOVA ERA,07:17,22,0,0,12,2024-11-05,-43.39715659,-21.72083092,"Avenida Presidente Juscelino Kubitschek, 2673"
721,NOVA ERA,07:17,23,0,0,12,2024-11-05,-43.39658737,-21.72328377,"Avenida Presidente Juscelino Kubitschek, 2001"
721,NOVA ERA,07:17,24,0,0,12,2024-11-05,-43.3964318,-21.72664777,"Avenida Presidente Juscelino Kubitschek, 1601"
721,NOVA ERA,07:17,25,2,0,14,2024-11-05,-43.395401,-21.73254585,"Avenida Presidente Juscelino Kubitschek, 921"
721,NOVA ERA,07:17,26,0,4,10,2024-11-05,-43.39314651,-21.73559258,"Avenida Presidente Juscelino Kubitschek, 765"
721,NOVA ERA,07:17,27,0,1,9,2024-11-05,-43.39146805,-21.73615265,"Avenida Presidente Juscelino Kubitschek, 567"
721,NOVA ERA,07:17,28,0,0,9,2024-11-05,-43.38983917,-21.73655109,"Avenida Presidente Juscelino Kubitschek, 313"
721,NOVA ERA,07:17,29,1,0,10,2024-11-05,-43.3843689,-21.74000168,"Avenida Coronel Vidal, 2999"
721,NOVA ERA,07:17,30,0,0,10,2024-11-05,-43.38116658,-21.73918834,"Avenida Coronel Vidal, 801"
721,NOVA ERA,07:17,31,0,0,10,2024-11-05,-43.37895203,-21.73764549,"Avenida Coronel Vidal, 431"
721,NOVA ERA,07:17,32,0,2,8,2024-11-05,-43.37572194,-21.73948748,"Avenida Coronel Vidal, 59 em frente ao Terminal Rodoviário"
721,NOVA ERA,07:17,33,0,0,8,2024-11-05,-43.37076259,-21.74137391,"Rua Doutor Henrique Burnier, 615"
721,NOVA ERA,07:17,34,1,0,9,2024-11-05,-43.36898434,-21.7424784,"Rua Doutor Henrique Burnier, 581"
721,NOVA ERA,07:17,35,2,9,2,2024-11-05,-43.36658251,-21.74392509,"Rua Doutor Henrique Burnier, 435"
721,NOVA ERA,07:17,36,1,2,1,2024-11-05,-43.36229706,-21.74465752,"Avenida Brasil, 5175"
721,NOVA ERA,07:17,37,0,1,0,2024-11-05,-43.3558249,-21.74507495,"Avenida Brasil, 3013"
721,NOVA ERA,07:17,38,3,0,3,2024-11-05,-43.35329926,-21.74750417,"Avenida Barão do Rio Branco, 950"
721,NOVA ERA,07:17,39,0,0,3,2024-11-05,-43.35280842,-21.74943617,"Avenida Barão do Rio Branco, 1200"
721,NOVA ERA,07:17,40,0,2,1,2024-11-05,-43.34804809,-21.75911568,"Avenida Getúlio Vargas, 661"
721,NOVA ERA,08:57,1,0,0,0,2024-11-05,-43.42550123,-21.71126556,"Rua Salvador Del Duca, 363 - Ponto Final da Linha 721"
721,NOVA ERA,08:57,2,1,0,1,2024-11-05,-43.42572773,-21.70999952,"Rua Salvador Del Duca, 775"
721,NOVA ERA,08:57,3,4,1,4,2024-11-05,-43.42597961,-21.70870972,"Rua Salvador Del Duca, 725"
721,NOVA ERA,08:57,4,0,0,4,2024-11-05,-43.42617035,-21.70775414,"Rua Salvador Del Duca, 633"
721,NOVA ERA,08:57,5,1,1,4,2024-11-05,-43.42632079,-21.70690155,"Rua Salvador Del Duca, 585"
721,NOVA ERA,08:57,6,1,1,4,2024-11-05,-43.42661667,-21.70528984,"Rua Salvador Del Duca, 451"
721,NOVA ERA,08:57,7,1,0,5,2024-11-05,-43.42677153,-21.70431371,"Rua Salvador Del Duca, 343"
721,NOVA ERA,08:57,8,0,0,5,2024-11-05,-43.4251634,-21.70098843,"Rua General Almerindo da Silva Gomes, 149"
721,NOVA ERA,08:57,9,0,0,5,2024-11-05,-43.42426146,-21.70098964,"Avenida Doutor Bezerra de Menezes, 36"
721,NOVA ERA,08:57,10,0,0,5,2024-11-05,-43.42285586,-21.702528,"Avenida Doutor Bezerra de Menezes, 318"
721,NOVA ERA,08:57,11,2,0,7,2024-11-05,-43.4214592,-21.70384478,"Avenida Doutor Bezerra de Menezes, 480"
721,NOVA ERA,08:57,12,0,3,4,2024-11-05,-43.42037916,-21.70498116,"Avenida Doutor Bezerra de Menezes, 640"
721,NOVA ERA,08:57,13,0,0,4,2024-11-05,-43.41919947,-21.70616824,"Avenida Doutor Bezerra de Menezes, 790"
721,NOVA ERA,08:57,14,0,1,3,2024-11-05,-43.41814178,-21.70724866,"Avenida Doutor Bezerra de Menezes, 940"
721,NOVA ERA,08:57,15,4,0,7,2024-11-05,-43.41695404,-21.70773125,"Rua Tenente Guimarães, 51"
721,NOVA ERA,08:57,16,0,0,7,2024-11-05,-43.41618145,-21.70808879,"Avenida Presidente Juscelino Kubitschek, 4455"
721,NOVA ERA,08:57,17,0,0,7,2024-11-05,-43.41508102,-21.71011543,"Avenida Presidente Juscelino Kubitschek, 4201"
721,NOVA ERA,08:57,18,0,0,7,2024-11-05,-43.41021657,-21.71345723,"Avenida Presidente Juscelino Kubitschek, 3689"
721,NOVA ERA,08:57,19,0,0,7,2024-11-05,-43.40774536,-21.71470261,"Avenida Presidente Juscelino Kubitschek, 3401"
721,NOVA ERA,08:57,20,0,0,7,2024-11-05,-43.40533066,-21.71630669,"Avenida Presidente Juscelino Kubitschek, 3201"
721,NOVA ERA,08:57,21,0,0,7,2024-11-05,-43.40091324,-21.71881294,"Avenida Presidente Juscelino Kubitschek, 2943"
721,NOVA ERA,08:57,22,0,0,7,2024-11-05,-43.39715659,-21.72083092,"Avenida Presidente Juscelino Kubitschek, 2673"
721,NOVA ERA,08:57,23,0,0,7,2024-11-05,-43.39658737,-21.72328377,"Avenida Presidente Juscelino Kubitschek, 2001"
721,NOVA ERA,08:57,24,0,0,7,2024-11-05,-43.3964318,-21.72664777,"Avenida Presidente Juscelino Kubitschek, 1601"
721,NOVA ERA,08:57,25,0,1,6,2024-11-05,-43.395401,-21.73254585,"Avenida Presidente Juscelino Kubitschek, 921"
721,NOVA ERA,08:57,26,0,6,0,2024-11-05,-43.39314651,-21.73559258,"Avenida Presidente Juscelino Kubitschek, 765"
721,NOVA ERA,08:57,27,0,0,0,2024-11-05,-43.39146805,-21.73615265,"Avenida Presidente Juscelino Kubitschek, 567"
