routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
747,SÃO JUDAS TADEU,10070912,04:40:00,45,0,0,8,2025-01-02T00:00:00.000Z,-43.353299260000,-21.747504170000,"Avenida Barão do Rio Branco, 950"
747,SÃO JUDAS TADEU,10071071,04:40:00,43,0,2,11,2025-01-02T00:00:00.000Z,-43.362297060000,-21.744657520000,"Avenida Brasil, 5175"
747,SÃO JUDAS TADEU,10069688,04:40:00,34,0,0,14,2025-01-02T00:00:00.000Z,-43.391468050000,-21.736152650000,"Avenida Presidente Juscelino Kubitschek, 567"
747,SÃO JUDAS TADEU,10071057,04:40:00,42,0,0,13,2025-01-02T00:00:00.000Z,-43.366582510000,-21.743925090000,"Rua Doutor Henrique Burnier, 435"
747,SÃO JUDAS TADEU,10069667,04:40:00,38,0,0,13,2025-01-02T00:00:00.000Z,-43.378952030000,-21.737645490000,"Avenida Coronel Vidal, 431"
747,SÃO JUDAS TADEU,10069726,04:40:00,36,0,0,13,2025-01-02T00:00:00.000Z,-43.384368900000,-21.740001680000,"Avenida Coronel Vidal, 2999"
747,SÃO JUDAS TADEU,10069610,04:40:00,18,0,0,18,2025-01-02T00:00:00.000Z,-43.422237400000,-21.701147080000,"Avenida Presidente Juscelino Kubitschek, 5681"
747,SÃO JUDAS TADEU,10069643,04:40:00,12,0,0,4,2025-01-02T00:00:00.000Z,-43.431339260000,-21.705268860000,"Avenida Doutor Simeão de Faria, 613"
747,SÃO JUDAS TADEU,10074458,04:40:00,3,1,1,6,2025-01-02T00:00:00.000Z,-43.434016560000,-21.706858860000,"Rua Major Ivan da Veiga Figueiredo, 313"
747,SÃO JUDAS TADEU,10074348,04:40:00,7,0,0,6,2025-01-02T00:00:00.000Z,-43.435881970000,-21.704851090000,"Rua Sabino Tortura, 314"
747,SÃO JUDAS TADEU,10069689,04:40:00,33,0,0,14,2025-01-02T00:00:00.000Z,-43.393146510000,-21.735592580000,"Avenida Presidente Juscelino Kubitschek, 765"
747,SÃO JUDAS TADEU,10069698,04:40:00,24,0,0,18,2025-01-02T00:00:00.000Z,-43.415081020000,-21.710115430000,"Avenida Presidente Juscelino Kubitschek, 4201"
747,SÃO JUDAS TADEU,10070848,04:40:00,46,0,3,5,2025-01-02T00:00:00.000Z,-43.352808420000,-21.749436170000,"Avenida Barão do Rio Branco, 1200"
747,SÃO JUDAS TADEU,10074339,04:40:00,11,0,1,4,2025-01-02T00:00:00.000Z,-43.432399750000,-21.705350750000,"Rua Monsenhor Francisco de Paula Salgado, 45"
747,SÃO JUDAS TADEU,10069608,04:40:00,19,0,0,18,2025-01-02T00:00:00.000Z,-43.421056390000,-21.702415470000,Avenida Presidente Juscelino Kubitschek
747,SÃO JUDAS TADEU,10074334,04:40:00,9,0,1,6,2025-01-02T00:00:00.000Z,-43.434830430000,-21.704262260000,"Rua Monsenhor Francisco de Paula Salgado, 295"
747,SÃO JUDAS TADEU,10070128,04:40:00,27,0,0,16,2025-01-02T00:00:00.000Z,-43.405330660000,-21.716306690000,"Avenida Presidente Juscelino Kubitschek, 3201"
747,SÃO JUDAS TADEU,10069714,04:40:00,28,0,0,16,2025-01-02T00:00:00.000Z,-43.400913240000,-21.718812940000,"Avenida Presidente Juscelino Kubitschek, 2943"
747,SÃO JUDAS TADEU,10069724,04:40:00,30,0,0,16,2025-01-02T00:00:00.000Z,-43.396587370000,-21.723283770000,"Avenida Presidente Juscelino Kubitschek, 2001"
747,SÃO JUDAS TADEU,10069686,04:40:00,35,0,1,13,2025-01-02T00:00:00.000Z,-43.389839170000,-21.736551090000,"Avenida Presidente Juscelino Kubitschek, 313"
747,SÃO JUDAS TADEU,10069718,04:40:00,26,0,1,16,2025-01-02T00:00:00.000Z,-43.407745360000,-21.714702610000,"Avenida Presidente Juscelino Kubitschek, 3401"
747,SÃO JUDAS TADEU,10074476,04:40:00,5,0,1,5,2025-01-02T00:00:00.000Z,-43.434589390000,-21.705969720000,"Rua Jair de Oliveira Pires, 172"
