routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
743,TOLEDOS,05:00,1,0,0,0,2024-11-01,-43.59020591,-21.79716046,JFA-457 norte - Ponto Final de Toledos
743,TOLEDOS,05:00,2,4,0,4,2024-11-01,-43.58879983,-21.79384655,Rua Principal
743,TOLEDOS,05:00,3,0,0,4,2024-11-01,-43.58875207,-21.79232406,Rua Principal
743,TOLEDOS,05:00,4,0,0,4,2024-11-01,-43.58791482,-21.79184107,Rua Principal
743,TOLEDOS,05:00,5,2,0,6,2024-11-01,-43.5871861,-21.79106264,Rua Principal
743,TOLEDOS,05:00,6,0,0,6,2024-11-01,-43.57802248,-21.78748729,JFA-457 norte
743,TOLEDOS,05:00,7,0,0,6,2024-11-01,-43.57440742,-21.78533269,JFA-457 norte
743,TOLEDOS,05:00,8,0,0,6,2024-11-01,-43.5743407,-21.77839544,JFA-457 norte
743,TOLEDOS,05:00,9,0,0,6,2024-11-01,-43.57915733,-21.77216036,JFA-457 norte
743,TOLEDOS,05:00,10,0,0,6,2024-11-01,-43.58382973,-21.77251406,JFA-457 norte
743,TOLEDOS,05:00,11,0,0,6,2024-11-01,-43.58784568,-21.77326763,JFA-457 norte
743,TOLEDOS,05:00,12,1,0,7,2024-11-01,-43.58953748,-21.77093982,JFA-457 norte
743,TOLEDOS,05:00,13,0,0,7,2024-11-01,-43.59151151,-21.76667541,JFA-457 norte
743,TOLEDOS,05:00,14,0,0,7,2024-11-01,-43.59176529,-21.76272722,JFA-457 norte
743,TOLEDOS,05:00,15,24,2,29,2024-11-01,-43.59808674,-21.75959227,JFA-457 norte - Entrada BR-267
743,TOLEDOS,05:00,16,0,0,29,2024-11-01,-43.59336086,-21.75699635,BR-267 leste
743,TOLEDOS,05:00,17,2,0,31,2024-11-01,-43.58706927,-21.75337064,BR-267 leste - Entrada JFA-456 para Ribeirão do Carmo
743,TOLEDOS,05:00,18,0,0,31,2024-11-01,-43.57648849,-21.74985504,BR-267 leste
743,TOLEDOS,05:00,19,0,0,31,2024-11-01,-43.5696199,-21.74736178,BR-267 leste
743,TOLEDOS,05:00,20,0,0,31,2024-11-01,-43.56294866,-21.74418657,BR-267 leste
743,TOLEDOS,05:00,21,0,0,31,2024-11-01,-43.55263918,-21.74351063,BR-267 leste - Entrada JFA-170
743,TOLEDOS,05:00,22,0,0,31,2024-11-01,-43.55261284,-21.74149651,"BR-267, km 132 leste"
743,TOLEDOS,05:00,23,0,0,31,2024-11-01,-43.55309974,-21.73881011,BR-267 leste
743,TOLEDOS,05:00,24,0,0,31,2024-11-01,-43.55191038,-21.73402749,BR-267 leste
743,TOLEDOS,05:00,25,0,0,31,2024-11-01,-43.5456407,-21.72917087,BR-267 leste
743,TOLEDOS,05:00,26,0,0,31,2024-11-01,-43.54218947,-21.72582312,BR-267 leste
743,TOLEDOS,05:00,27,0,2,29,2024-11-01,-43.54055405,-21.72452164,BR-267 leste
743,TOLEDOS,05:00,28,0,1,28,2024-11-01,-43.53813079,-21.72264782,BR-267 leste - Entrada de Penido
743,TOLEDOS,05:00,29,0,0,28,2024-11-01,-43.53167488,-21.71951249,BR-267 leste
743,TOLEDOS,05:00,30,0,0,28,2024-11-01,-43.52771529,-21.71717088,BR-267 leste
743,TOLEDOS,05:00,31,2,1,29,2024-11-01,-43.5222702,-21.71430784,BR-267 leste
743,TOLEDOS,05:00,32,0,0,29,2024-11-01,-43.51880902,-21.70893478,BR-267 leste
743,TOLEDOS,05:00,33,0,0,29,2024-11-01,-43.51456362,-21.70529689,BR-267 leste - Fazenda do Tanque
743,TOLEDOS,05:00,34,0,0,29,2024-11-01,-43.50734701,-21.70518862,BR-267 leste
743,TOLEDOS,05:00,35,0,0,29,2024-11-01,-43.50470615,-21.70575581,BR-267 leste
743,TOLEDOS,05:00,36,0,0,29,2024-11-01,-43.50085948,-21.70524926,BR-267 leste
743,TOLEDOS,05:00,37,0,0,29,2024-11-01,-43.49544257,-21.7080741,BR-267 leste
743,TOLEDOS,05:00,38,3,3,29,2024-11-01,-43.49094009,-21.71154785,BR-267 leste - Entrada para Humaitá
743,TOLEDOS,05:00,39,12,4,37,2024-11-01,-43.4851948,-21.70971787,BR-267 leste - Trevo de Igrejinha
743,TOLEDOS,05:00,40,1,0,38,2024-11-01,-43.48334282,-21.70885588,BR-267 leste
743,TOLEDOS,05:00,41,0,0,38,2024-11-01,-43.47391891,-21.70663098,BR-267 leste - Trevo da Nexa
743,TOLEDOS,05:00,42,0,0,38,2024-11-01,-43.47062009,-21.70574293,BR-267 leste
743,TOLEDOS,05:00,43,0,0,38,2024-11-01,-43.46252262,-21.70552715,BR-267 leste
743,TOLEDOS,05:00,44,0,0,38,2024-11-01,-43.45756149,-21.70456505,BR-267 leste
743,TOLEDOS,05:00,45,0,0,38,2024-11-01,-43.45171356,-21.70488739,BR-040 sul - Trevo BR-267 oeste
743,TOLEDOS,05:00,46,0,0,38,2024-11-01,-43.45145181,-21.70201883,BR-040 norte - Trevo BR-267 oeste
743,TOLEDOS,05:00,47,0,0,38,2024-11-01,-43.4480046,-21.69291313,BR-040 norte
743,TOLEDOS,05:00,48,0,0,38,2024-11-01,-43.45043885,-21.68746986,BR-040 norte
743,TOLEDOS,05:00,49,0,0,38,2024-11-01,-43.44678116,-21.67845622,"Avenida Antônio Simão Firjam, 1171"
743,TOLEDOS,05:00,50,0,0,38,2024-11-01,-43.44453812,-21.67968369,"Avenida Antônio Simão Firjam, 311"
743,TOLEDOS,05:00,51,0,0,38,2024-11-01,-43.44225252,-21.68087959,"Avenida Antônio Simão Firjam, 531"
743,TOLEDOS,05:00,52,1,1,38,2024-11-01,-43.43987644,-21.68215561,"Avenida Antônio Simão Firjam, 620"
743,TOLEDOS,05:00,53,0,1,37,2024-11-01,-43.43817014,-21.68365307,"Rua Professora Helena Antipoff, 58"
743,TOLEDOS,05:00,54,0,1,36,2024-11-01,-43.43805086,-21.68461006,"Rua dos Guararapes, 795"
743,TOLEDOS,05:00,55,0,0,36,2024-11-01,-43.43756163,-21.68604119,"Rua dos Guararapes, 591"
743,TOLEDOS,05:00,56,0,0,36,2024-11-01,-43.43698192,-21.68762958,"Rua dos Guararapes, 391"
743,TOLEDOS,05:00,57,0,0,36,2024-11-01,-43.43780518,-21.68808771,"Avenida Inês Garcia, 400"
743,TOLEDOS,05:00,58,0,8,28,2024-11-01,-43.43779714,-21.68962387,"Rua Evaristo da Veiga, 391"
743,TOLEDOS,05:00,59,0,8,20,2024-11-01,-43.43704559,-21.6899913,"Rua Henrique Dias, 327"
743,TOLEDOS,05:00,60,0,8,12,2024-11-01,-43.43510031,-21.68936712,"Rua Henrique Dias, 125"
743,TOLEDOS,05:00,61,0,0,12,2024-11-01,-43.43422616,-21.68910243,"Rua Henrique Dias, 33"
743,TOLEDOS,05:00,62,0,0,12,2024-11-01,-43.43270051,-21.69100571,Avenida Presidente Juscelino Kubitschek
743,TOLEDOS,05:00,63,0,0,12,2024-11-01,-43.43220901,-21.69226456,"Avenida Presidente Juscelino Kubitschek, 6313"
743,TOLEDOS,05:00,64,0,0,12,2024-11-01,-43.43114471,-21.69452095,"Avenida Presidente Juscelino Kubitschek, 6145"
743,TOLEDOS,05:00,65,0,0,12,2024-11-01,-43.4296527,-21.69548979,"Avenida Presidente Juscelino Kubitschek, 5901"
743,TOLEDOS,05:00,66,1,2,11,2024-11-01,-43.42580032,-21.69803441,"Avenida Presidente Juscelino Kubitschek, 5637"
743,TOLEDOS,05:00,67,0,2,9,2024-11-01,-43.42345428,-21.6999334,"Avenida Presidente Juscelino Kubitschek, 5531"
743,TOLEDOS,05:00,68,0,2,7,2024-11-01,-43.4222374,-21.70114708,"Avenida Presidente Juscelino Kubitschek, 5681"
743,TOLEDOS,05:00,69,0,3,4,2024-11-01,-43.42105639,-21.70241547,Avenida Presidente Juscelino Kubitschek
743,TOLEDOS,05:00,70,0,1,3,2024-11-01,-43.41947937,-21.70394897,"Avenida Presidente Juscelino Kubitschek, 4905"
743,TOLEDOS,05:00,71,0,1,2,2024-11-01,-43.41827178,-21.70518943,"Avenida Presidente Juscelino Kubitschek, 5035"
743,TOLEDOS,05:00,72,0,1,1,2024-11-01,-43.41664994,-21.70713591,"Avenida Presidente Juscelino Kubitschek, 4795"
743,TOLEDOS,05:00,73,0,1,0,2024-11-01,-43.41618145,-21.70808879,"Avenida Presidente Juscelino Kubitschek, 4455"
743,TOLEDOS,05:00,74,0,0,0,2024-11-01,-43.41508102,-21.71011543,"Avenida Presidente Juscelino Kubitschek, 4201"
743,TOLEDOS,05:00,75,4,0,4,2024-11-01,-43.41021657,-21.71345723,"Avenida Presidente Juscelino Kubitschek, 3689"
743,TOLEDOS,05:00,76,0,2,2,2024-11-01,-43.40774536,-21.71470261,"Avenida Presidente Juscelino Kubitschek, 3401"
743,TOLEDOS,05:00,77,0,0,2,2024-11-01,-43.40533066,-21.71630669,"Avenida Presidente Juscelino Kubitschek, 3201"
743,TOLEDOS,05:00,78,0,2,0,2024-11-01,-43.40091324,-21.71881294,"Avenida Presidente Juscelino Kubitschek, 2943"
743,TOLEDOS,05:00,79,0,0,0,2024-11-01,-43.39715659,-21.72083092,"Avenida Presidente Juscelino Kubitschek, 2673"
743,TOLEDOS,05:00,80,0,0,0,2024-11-01,-43.39658737,-21.72328377,"Avenida Presidente Juscelino Kubitschek, 2001"
743,TOLEDOS,05:00,81,0,0,0,2024-11-01,-43.3964318,-21.72664777,"Avenida Presidente Juscelino Kubitschek, 1601"
743,TOLEDOS,05:00,82,4,0,4,2024-11-01,-43.395401,-21.73254585,"Avenida Presidente Juscelino Kubitschek, 921"
743,TOLEDOS,05:00,83,0,4,0,2024-11-01,-43.39314651,-21.73559258,"Avenida Presidente Juscelino Kubitschek, 765"
743,TOLEDOS,05:00,84,0,0,0,2024-11-01,-43.39146805,-21.73615265,"Avenida Presidente Juscelino Kubitschek, 567"
743,TOLEDOS,05:00,85,3,0,3,2024-11-01,-43.38983917,-21.73655109,"Avenida Presidente Juscelino Kubitschek, 313"
743,TOLEDOS,05:00,86,0,0,3,2024-11-01,-43.3843689,-21.74000168,"Avenida Coronel Vidal, 2999"
743,TOLEDOS,05:00,87,0,0,3,2024-11-01,-43.38116658,-21.73918834,"Avenida Coronel Vidal, 801"
743,TOLEDOS,05:00,88,0,0,3,2024-11-01,-43.37895203,-21.73764549,"Avenida Coronel Vidal, 431"
743,TOLEDOS,05:00,89,0,1,2,2024-11-01,-43.37572194,-21.73948748,"Avenida Coronel Vidal, 59 em frente ao Terminal Rodoviário"
743,TOLEDOS,05:00,90,1,2,1,2024-11-01,-43.37076259,-21.74137391,"Rua Doutor Henrique Burnier, 615"
743,TOLEDOS,05:00,91,0,0,1,2024-11-01,-43.36898434,-21.7424784,"Rua Doutor Henrique Burnier, 581"
743,TOLEDOS,05:00,92,0,0,1,2024-11-01,-43.36658251,-21.74392509,"Rua Doutor Henrique Burnier, 435"
743,TOLEDOS,05:00,93,1,1,1,2024-11-01,-43.36229706,-21.74465752,"Avenida Brasil, 5175"
743,TOLEDOS,05:00,94,0,1,0,2024-11-01,-43.3558249,-21.74507495,"Avenida Brasil, 3013"
743,TOLEDOS,05:00,95,0,0,0,2024-11-01,-43.35329926,-21.74750417,"Avenida Barão do Rio Branco, 950"
743,TOLEDOS,05:00,96,5,0,5,2024-11-01,-43.35280842,-21.74943617,"Avenida Barão do Rio Branco, 1200"
743,TOLEDOS,05:00,97,0,5,0,2024-11-01,-43.34804809,-21.75911568,"Avenida Getúlio Vargas, 661"
743,TOLEDOS,11:20,1,0,0,0,2024-11-01,-43.34804809,-21.75911568,"Avenida Getúlio Vargas, 661"
743,TOLEDOS,11:20,2,5,0,5,2024-11-01,-43.34295273,-21.76057053,"Travessa Doutor Prisco, 30"
743,TOLEDOS,11:20,3,0,0,5,2024-11-01,-43.34937286,-21.75488663,"Avenida Francisco Bernardino, 582"
743,TOLEDOS,11:20,4,0,0,5,2024-11-01,-43.35174942,-21.74833298,"Avenida Brasil, 3762"
743,TOLEDOS,11:20,5,3,0,8,2024-11-01,-43.35479736,-21.74449158,"Avenida Brasil, 2872"
743,TOLEDOS,11:20,6,0,0,8,2024-11-01,-43.35712433,-21.744133,"Avenida Brasil, 4200"
743,TOLEDOS,11:20,7,0,2,6,2024-11-01,-43.35931015,-21.74397659,"Rua Américo Lobo, 421"
743,TOLEDOS,11:20,8,1,2,5,2024-11-01,-43.36394501,-21.74394472,"Rua Américo Lobo, 56"
743,TOLEDOS,11:20,9,0,2,3,2024-11-01,-43.36631393,-21.74326484,"Avenida Brasil, 538"
743,TOLEDOS,11:20,10,0,0,3,2024-11-01,-43.36735916,-21.74192503,"Avenida Brasil, 5555"
743,TOLEDOS,11:20,11,0,3,0,2024-11-01,-43.36945343,-21.7400074,"Avenida Brasil, 6150"
743,TOLEDOS,11:20,12,0,0,0,2024-11-01,-43.37488174,-21.73755455,"Avenida Brasil, 11250 em frente ao Terminal Rodoviário"
743,TOLEDOS,11:20,13,0,0,0,2024-11-01,-43.37690735,-21.73721504,"Avenida Brasil, 5000"
743,TOLEDOS,11:20,14,0,0,0,2024-11-01,-43.37965393,-21.73678207,"Avenida Brasil, 7340"
743,TOLEDOS,11:20,15,0,0,0,2024-11-01,-43.38383102,-21.73693848,"Avenida Brasil, 7690"
743,TOLEDOS,11:20,16,0,0,0,2024-11-01,-43.39021683,-21.73627853,"Avenida Presidente Juscelino Kubitschek, 324"
