routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
115,M. Novo / Quintas da Avenida,10071793,05:15:00,11,0,0,0,2025-01-02T00:00:00.000Z,-43.350711340000,-21.775345870000,"Rua Severiano Sarmento, 601"
115,M. Novo / Quintas da Avenida,10072117,05:15:00,35,0,0,3,2025-01-02T00:00:00.000Z,-43.357907530000,-21.730462360000,"Rua Anne Garios, 371"
115,M. Novo / Quintas da Avenida,10072121,05:15:00,33,0,0,3,2025-01-02T00:00:00.000Z,-43.362167360000,-21.728802040000,"Rua Paulo Kneipp, 77"
115,M. Novo / Quintas da Avenida,10071912,05:15:00,3,0,0,2,2025-01-02T00:00:00.000Z,-43.349294600000,-21.782987100000,"Rua Professor Francisco Sobral, 27"
115,M. Novo / Quintas da Avenida,10072163,05:15:00,36,0,0,3,2025-01-02T00:00:00.000Z,-43.357538220000,-21.728893420000,"Rua Aurélio Ferreira Salgado, 111"
115,M. Novo / Quintas da Avenida,10071934,05:15:00,5,0,1,1,2025-01-02T00:00:00.000Z,-43.350292980000,-21.779879080000,"Rua Doutor Luiz Antônio Vieira Pena, 815"
115,M. Novo / Quintas da Avenida,10072115,05:15:00,32,0,0,3,2025-01-02T00:00:00.000Z,-43.362766150000,-21.728063270000,"Rua Paulo Kneipp, 15"
115,M. Novo / Quintas da Avenida,10071913,05:15:00,6,0,1,0,2025-01-02T00:00:00.000Z,-43.351095970000,-21.779091580000,"Rua Doutor Luiz Antônio Vieira Pena, 665"
115,M. Novo / Quintas da Avenida,10071800,05:15:00,12,0,0,0,2025-01-02T00:00:00.000Z,-43.349851370000,-21.775404920000,"Rua Barão de São Marcelino, 385"
115,M. Novo / Quintas da Avenida,10070910,05:15:00,20,0,1,3,2025-01-02T00:00:00.000Z,-43.353359620000,-21.746834610000,"Avenida Barão do Rio Branco, 867"
115,M. Novo / Quintas da Avenida,10072100,05:15:00,28,0,0,3,2025-01-02T00:00:00.000Z,-43.360107420000,-21.728593830000,"Rua Aurélio Ferreira Salgado, 400"
115,M. Novo / Quintas da Avenida,10072596,05:15:00,24,0,0,3,2025-01-02T00:00:00.000Z,-43.356720990000,-21.733900550000,"Avenida Barão do Rio Branco, 11"
115,M. Novo / Quintas da Avenida,10071096,05:15:00,15,0,0,2,2025-01-02T00:00:00.000Z,-43.347631230000,-21.768984840000,"Avenida Barão do Rio Branco, 3105"
115,M. Novo / Quintas da Avenida,10071917,05:15:00,1,0,0,0,2025-01-02T00:00:00.000Z,-43.349289900000,-21.784001090000,Rua Zélia Lima Guedes - Ponto Final das Linhas 112 e 115 no Mundo Novo
115,M. Novo / Quintas da Avenida,10071904,05:15:00,4,0,0,2,2025-01-02T00:00:00.000Z,-43.348716970000,-21.781346020000,"Rua Doutor Luiz Antônio Vieira Pena, 947"
115,M. Novo / Quintas da Avenida,10072139,05:15:00,27,0,0,3,2025-01-02T00:00:00.000Z,-43.358863830000,-21.728668210000,"Rua Aurélio Ferreira Salgado, 260"
115,M. Novo / Quintas da Avenida,10071789,05:15:00,7,0,0,0,2025-01-02T00:00:00.000Z,-43.351694640000,-21.777662230000,"Rua Doutor Luiz Antônio Vieira Pena, 499"
115,M. Novo / Quintas da Avenida,10072140,05:15:00,26,0,0,3,2025-01-02T00:00:00.000Z,-43.357526540000,-21.728748920000,"Rua Aurélio Ferreira Salgado, 110"
115,M. Novo / Quintas da Avenida,10072570,05:15:00,21,0,0,3,2025-01-02T00:00:00.000Z,-43.354292420000,-21.742955580000,"Avenida Barão do Rio Branco, 407"
115,M. Novo / Quintas da Avenida,10072098,05:15:00,29,0,0,3,2025-01-02T00:00:00.000Z,-43.361431120000,-21.728149410000,"Rua Aurélio Ferreira Salgado, 520"
115,M. Novo / Quintas da Avenida,10071797,05:15:00,9,0,0,0,2025-01-02T00:00:00.000Z,-43.352287290000,-21.775253300000,"Rua Doutor Luiz Antônio Vieira Pena, 201"
115,M. Novo / Quintas da Avenida,10072118,05:15:00,34,0,0,3,2025-01-02T00:00:00.000Z,-43.358710410000,-21.730771470000,"Rua José Theodósio Araujo, 58"
115,M. Novo / Quintas da Avenida,10073392,05:15:00,25,0,0,3,2025-01-02T00:00:00.000Z,-43.356573190000,-21.730349470000,"Avenida Juiz de Fora, 550"
115,M. Novo / Quintas da Avenida,10072607,05:15:00,23,0,0,3,2025-01-02T00:00:00.000Z,-43.356446740000,-21.734901810000,"Avenida Barão do Rio Branco, 229"
115,M. Novo / Quintas da Avenida,10071787,05:15:00,8,0,0,0,2025-01-02T00:00:00.000Z,-43.352029090000,-21.776479990000,"Rua Doutor Luiz Antônio Vieira Pena, 403"
115,M. Novo / Quintas da Avenida,10070863,05:15:00,19,0,1,4,2025-01-02T00:00:00.000Z,-43.352577640000,-21.749939200000,"Avenida Barão do Rio Branco, 1225"
115,M. Novo / Quintas da Avenida,10071799,05:15:00,10,0,0,0,2025-01-02T00:00:00.000Z,-43.351419810000,-21.775013570000,"Rua Doutor Luiz Antônio Vieira Pena, 51"
115,M. Novo / Quintas da Avenida,10071104,05:15:00,18,5,0,5,2025-01-02T00:00:00.000Z,-43.350868230000,-21.756460190000,"Avenida Barão do Rio Branco, 1655"
115,M. Novo / Quintas da Avenida,10071915,05:15:00,2,2,0,2,2025-01-02T00:00:00.000Z,-43.350028860000,-21.783778160000,"Rua João Teixeira Lopes, 45"
115,M. Novo / Quintas da Avenida,10071090,05:15:00,17,0,2,0,2025-01-02T00:00:00.000Z,-43.349991800000,-21.759861420000,"Avenida Barão do Rio Branco, 2037"
115,M. Novo / Quintas da Avenida,10071087,05:15:00,16,0,0,2,2025-01-02T00:00:00.000Z,-43.348548910000,-21.765426560000,"Avenida Barão do Rio Branco, 2675"
115,M. Novo / Quintas da Avenida,10072161,05:15:00,37,0,0,3,2025-01-02T00:00:00.000Z,-43.356032850000,-21.730889360000,"Rua Irene Baptista de Oliveira, 177"
115,M. Novo / Quintas da Avenida,10072603,05:15:00,22,0,0,3,2025-01-02T00:00:00.000Z,-43.354718260000,-21.741287720000,"Avenida Barão do Rio Branco, 227"
115,M. Novo / Quintas da Avenida,10072116,05:15:00,31,0,0,3,2025-01-02T00:00:00.000Z,-43.361602670000,-21.727028150000,"Rua José Antônio Mendes, 111"
115,M. Novo / Quintas da Avenida,10071802,05:15:00,13,0,0,0,2025-01-02T00:00:00.000Z,-43.347541930000,-21.774757680000,"Rua Barão de São Marcelino, 145"
115,M. Novo / Quintas da Avenida,10072096,05:15:00,30,0,0,3,2025-01-02T00:00:00.000Z,-43.360816960000,-21.727951070000,"Rua Thiers Cerutti, 266"
115,M. Novo / Quintas da Avenida,10071092,05:15:00,14,2,0,2,2025-01-02T00:00:00.000Z,-43.346980630000,-21.771461110000,"Avenida Barão do Rio Branco, 3375"
115,M. Novo / Quintas da Avenida,10070912,06:00:00,20,1,0,3,2025-01-02T00:00:00.000Z,-43.353299260000,-21.747504170000,"Avenida Barão do Rio Branco, 950"
115,M. Novo / Quintas da Avenida,10071303,06:00:00,38,0,0,0,2025-01-02T00:00:00.000Z,-43.355607990000,-21.784463170000,"Rua Luz Interior, 405"
115,M. Novo / Quintas da Avenida,10072140,06:00:00,3,2,0,2,2025-01-02T00:00:00.000Z,-43.357526540000,-21.728748920000,"Rua Aurélio Ferreira Salgado, 110"
115,M. Novo / Quintas da Avenida,10070854,06:00:00,25,0,0,3,2025-01-02T00:00:00.000Z,-43.348094290000,-21.767628700000,"Avenida Barão do Rio Branco, 2900"
115,M. Novo / Quintas da Avenida,10070850,06:00:00,23,0,0,3,2025-01-02T00:00:00.000Z,-43.349557910000,-21.762090170000,"Avenida Barão do Rio Branco, 2300"
115,M. Novo / Quintas da Avenida,10072117,06:00:00,13,0,0,2,2025-01-02T00:00:00.000Z,-43.357907530000,-21.730462360000,"Rua Anne Garios, 371"
115,M. Novo / Quintas da Avenida,10073392,06:00:00,2,0,0,0,2025-01-02T00:00:00.000Z,-43.356573190000,-21.730349470000,"Avenida Juiz de Fora, 550"
115,M. Novo / Quintas da Avenida,10071305,06:00:00,42,0,0,0,2025-01-02T00:00:00.000Z,-43.355812190000,-21.784553530000,"Rua Luz Interior, 400"
115,M. Novo / Quintas da Avenida,10072161,06:00:00,1,0,0,0,2025-01-02T00:00:00.000Z,-43.356032850000,-21.730889360000,"Rua Irene Baptista de Oliveira, 177"
115,M. Novo / Quintas da Avenida,10071935,06:00:00,30,0,0,3,2025-01-02T00:00:00.000Z,-43.349708670000,-21.779297100000,"Rua José do Patrocínio, 361"
115,M. Novo / Quintas da Avenida,10071937,06:00:00,31,0,0,3,2025-01-02T00:00:00.000Z,-43.350188730000,-21.778593290000,"Rua Gilásio Costa de Almeida, 251"
115,M. Novo / Quintas da Avenida,10072571,06:00:00,19,0,0,2,2025-01-02T00:00:00.000Z,-43.354390630000,-21.743726060000,"Avenida Barão do Rio Branco, 510"
115,M. Novo / Quintas da Avenida,10072121,06:00:00,10,0,0,2,2025-01-02T00:00:00.000Z,-43.362167360000,-21.728802040000,"Rua Paulo Kneipp, 77"
115,M. Novo / Quintas da Avenida,10072574,06:00:00,18,0,0,2,2025-01-02T00:00:00.000Z,-43.354761720000,-21.742333980000,"Avenida Barão do Rio Branco, 346"
115,M. Novo / Quintas da Avenida,10070785,06:00:00,27,0,0,3,2025-01-02T00:00:00.000Z,-43.346020820000,-21.775462450000,"Avenida Barão do Rio Branco, 3820"
115,M. Novo / Quintas da Avenida,10070853,06:00:00,24,0,0,3,2025-01-02T00:00:00.000Z,-43.348877890000,-21.764589280000,"Avenida Barão do Rio Branco, 2570"
