routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
403,Nossa Senhora Aparecida,10071587,06:50,13,0,0,0,2024-11-02,-43.34830093,-21.74447441,06:56:20,"Rua Antônio Meurer, 315"
403,Nossa Senhora Aparecida,10071613,06:50,14,2,0,2,2024-11-02,-43.34917831,-21.74480247,06:56:39,"Rua Antônio Meurer, 219"
403,Nossa Senhora Aparecida,10071152,06:50,15,0,2,0,2024-11-02,-43.35038376,-21.74521637,06:57:19,"Rua Antônio Meurer, 89"
403,Nossa Senhora Aparecida,10070748,06:50,16,0,0,0,2024-11-02,-43.35001809,-21.74442629,06:57:39,"Rua Nossa Senhora Aparecida, 130"
403,Nossa Senhora Aparecida,10071147,06:50,17,0,0,0,2024-11-02,-43.34896851,-21.74415779,06:57:59,"Rua Nossa Senhora Aparecida, 246"
403,Nossa Senhora Aparecida,10072581,06:50,18,0,0,0,2024-11-02,-43.34957051,-21.74303939,06:58:19,"Avenida Governador Valadares, 827"
403,Nossa Senhora Aparecida,10071966,06:50,19,0,0,0,2024-11-02,-43.35047913,-21.74190521,06:58:58,"Rua Américo Lobo, 1355"
403,Nossa Senhora Aparecida,10071963,06:50,20,0,0,0,2024-11-02,-43.35154343,-21.74248505,06:59:39,"Rua Américo Lobo, 1241"
403,Nossa Senhora Aparecida,10071941,06:50,21,4,0,4,2024-11-02,-43.3528595,-21.74289131,07:00:39,"Rua Américo Lobo, 1093"
403,Nossa Senhora Aparecida,10072571,06:50,22,0,1,3,2024-11-02,-43.35439063,-21.74372606,07:01:58,"Avenida Barão do Rio Branco, 510"
403,Nossa Senhora Aparecida,10070912,06:50,23,0,2,1,2024-11-02,-43.35329926,-21.74750417,07:04:18,"Avenida Barão do Rio Branco, 950"
403,Nossa Senhora Aparecida,10070848,06:50,24,0,1,0,2024-11-02,-43.35280842,-21.74943617,07:05:58,"Avenida Barão do Rio Branco, 1200"
403,Nossa Senhora Aparecida,10071108,06:50,25,0,0,0,2024-11-02,-43.34933186,-21.75814461,07:05:58,"Avenida Getúlio Vargas, 835"
403,Nossa Senhora Aparecida,10071839,07:15,13,0,0,0,2024-11-02,-43.34892273,-21.7449398,07:29:53,"Rua Antônio Meurer, 240"
403,Nossa Senhora Aparecida,10071588,07:15,14,0,0,0,2024-11-02,-43.34836197,-21.7447319,07:30:13,"Rua Antônio Meurer, 300"
403,Nossa Senhora Aparecida,10071593,07:15,15,0,0,0,2024-11-02,-43.34753859,-21.74516479,07:30:33,"Rua Antônio Meurer, 456"
