routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
439,Santo Antonio,05:15,1,0,0,0,2024-11-03,-43.30835342,-21.77538681,"Rua B, 147 - Ponto Final da Linha 439"
439,Santo Antonio,05:15,2,0,0,0,2024-11-03,-43.30865097,-21.77455711,"Rua B, 301"
439,Santo Antonio,05:15,3,0,0,0,2024-11-03,-43.30932736,-21.77499008,"Rua João de Deus Pereira, 859"
439,Santo Antonio,05:15,4,4,0,4,2024-11-03,-43.30933309,-21.77630424,"Rua João de Deus Pereira, 156 - Ponto Final da Linha 440"
439,Santo Antonio,05:15,5,0,0,4,2024-11-03,-43.31029499,-21.77615061,"Rua Francisco Pereira, 305"
439,Santo Antonio,05:15,6,6,0,10,2024-11-03,-43.31098461,-21.77478335,"Rua Francisco Pereira, 107"
439,Santo Antonio,05:15,7,1,10,1,2024-11-03,-43.31118868,-21.77357691,"Rua Pedro Trogo, 735"
439,Santo Antonio,05:15,8,0,1,0,2024-11-03,-43.31184476,-21.7732876,"Rua Pedro Trogo, 339"
439,Santo Antonio,05:15,9,3,0,3,2024-11-03,-43.31229138,-21.7720201,"Rua Luiz Fellet, 421"
439,Santo Antonio,05:15,10,3,2,4,2024-11-03,-43.31396305,-21.77121288,"Rua Luiz Fellet, 211"
439,Santo Antonio,05:15,11,3,4,3,2024-11-03,-43.31614685,-21.7700367,"Rua Francisco Cerqueira Cruzeiro, 829"
439,Santo Antonio,05:15,12,0,0,3,2024-11-03,-43.31700134,-21.76953125,"Rua Francisco Cerqueira Cruzeiro, 741"
439,Santo Antonio,05:15,13,0,0,3,2024-11-03,-43.31908178,-21.76928657,"Rua Francisco Cerqueira Cruzeiro, 501"
439,Santo Antonio,05:15,14,0,0,3,2024-11-03,-43.32021715,-21.76864458,"Rua Francisco Cerqueira Cruzeiro, 365"
439,Santo Antonio,05:15,15,0,0,3,2024-11-03,-43.32331085,-21.76924714,"Rua Nossa Senhora de Lourdes, 751"
439,Santo Antonio,05:15,16,0,0,3,2024-11-03,-43.32437515,-21.76854324,"Rua Nossa Senhora de Lourdes, 641"
439,Santo Antonio,05:15,17,0,0,3,2024-11-03,-43.32659149,-21.76731491,"Rua Nossa Senhora de Lourdes, 391"
439,Santo Antonio,05:15,18,3,3,3,2024-11-03,-43.32868493,-21.76582951,"Rua Inácio da Gama, 619"
439,Santo Antonio,05:15,19,1,3,1,2024-11-03,-43.33065033,-21.76486206,"Avenida Brasil, 475"
439,Santo Antonio,05:15,20,0,0,1,2024-11-03,-43.33272934,-21.76393318,"Rua Costa Carvalho, 91"
439,Santo Antonio,05:15,21,0,0,1,2024-11-03,-43.3339485,-21.76218434,"Avenida Sete de Setembro, 150"
439,Santo Antonio,05:15,22,0,0,1,2024-11-03,-43.3349961,-21.76140816,"Avenida Sete de Setembro, 276"
439,Santo Antonio,05:15,23,0,1,0,2024-11-03,-43.3380295,-21.76032385,"Avenida Sete de Setembro, 623"
439,Santo Antonio,05:15,24,0,0,0,2024-11-03,-43.34233862,-21.76050596,"Rua Ângelo Falci, 55"
439,Santo Antonio,05:15,25,0,0,0,2024-11-03,-43.34933186,-21.75814461,"Avenida Getúlio Vargas, 835"
439,Santo Antonio,04:30,1,0,0,0,2024-11-01,-43.30835342,-21.77538681,"Rua B, 147 - Ponto Final da Linha 439"
439,Santo Antonio,04:30,2,0,0,0,2024-11-01,-43.30865097,-21.77455711,"Rua B, 301"
439,Santo Antonio,04:30,3,1,0,1,2024-11-01,-43.30932736,-21.77499008,"Rua João de Deus Pereira, 859"
439,Santo Antonio,04:30,4,3,0,4,2024-11-01,-43.30933309,-21.77630424,"Rua João de Deus Pereira, 156 - Ponto Final da Linha 440"
439,Santo Antonio,04:30,5,1,0,5,2024-11-01,-43.31029499,-21.77615061,"Rua Francisco Pereira, 305"
439,Santo Antonio,04:30,6,0,0,5,2024-11-01,-43.31098461,-21.77478335,"Rua Francisco Pereira, 107"
439,Santo Antonio,04:30,7,1,3,3,2024-11-01,-43.31118868,-21.77357691,"Rua Pedro Trogo, 735"
439,Santo Antonio,04:30,8,0,2,1,2024-11-01,-43.31184476,-21.7732876,"Rua Pedro Trogo, 339"
439,Santo Antonio,04:30,9,3,1,3,2024-11-01,-43.31229138,-21.7720201,"Rua Luiz Fellet, 421"
439,Santo Antonio,04:30,10,4,3,4,2024-11-01,-43.31396305,-21.77121288,"Rua Luiz Fellet, 211"
