routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
604,B. Industrial,06:00,1,0,0,0,2024-11-01,-43.39560318,-21.72930336,Rua Sylvio Ribeiro Aragão
604,B. Industrial,06:00,2,4,0,4,2024-11-01,-43.39421034,-21.73130355,"Rua Avelino Milagres, 185"
604,B. Industrial,06:00,3,0,1,3,2024-11-01,-43.39360809,-21.73219681,"Rua Avelino Milagres, 117"
604,B. Industrial,06:00,4,3,0,6,2024-11-01,-43.39292908,-21.73300171,"Rua Augusto Mariani, 245"
604,B. Industrial,06:00,5,0,0,6,2024-11-01,-43.39185942,-21.73223348,"Rua Augusto Mariani, 95"
604,B. Industrial,06:00,6,0,0,6,2024-11-01,-43.39132351,-21.73216271,"Rua José Marangon, 59"
604,B. Industrial,06:00,7,2,0,8,2024-11-01,-43.39147055,-21.73305706,"Rua Nunes Lima, 173"
604,B. Industrial,06:00,8,0,0,8,2024-11-01,-43.39144117,-21.73449135,"Rua Nunes Lima, 35"
604,B. Industrial,06:00,9,0,0,8,2024-11-01,-43.39105606,-21.73516477,"Rua José de Araújo Braga, 50"
604,B. Industrial,06:00,10,2,0,10,2024-11-01,-43.38895035,-21.73605919,"Rua José de Araújo Braga, 260"
604,B. Industrial,06:00,11,0,0,10,2024-11-01,-43.38669557,-21.73806,"Rua José de Araújo Braga, 15"
604,B. Industrial,06:00,12,0,0,10,2024-11-01,-43.38583755,-21.73788071,"Rua José Manoel de Oliveira, 64"
604,B. Industrial,06:00,13,0,0,10,2024-11-01,-43.38488841,-21.73829503,"Rua Hélio Tomás, 255"
604,B. Industrial,06:00,14,0,0,10,2024-11-01,-43.38384628,-21.73894926,"Rua Hélio Tomás, 101"
604,B. Industrial,06:00,15,1,0,11,2024-11-01,-43.38400507,-21.73972776,"Rua Martinho Gonçalves, 25"
604,B. Industrial,06:00,16,0,0,11,2024-11-01,-43.38116658,-21.73918834,"Avenida Coronel Vidal, 801"
604,B. Industrial,06:00,17,0,0,11,2024-11-01,-43.37895203,-21.73764549,"Avenida Coronel Vidal, 431"
604,B. Industrial,06:00,18,0,0,11,2024-11-01,-43.37572194,-21.73948748,"Avenida Coronel Vidal, 59 em frente ao Terminal Rodoviário"
604,B. Industrial,06:00,19,0,0,11,2024-11-01,-43.37076259,-21.74137391,"Rua Doutor Henrique Burnier, 615"
604,B. Industrial,06:00,20,0,0,11,2024-11-01,-43.36898434,-21.7424784,"Rua Doutor Henrique Burnier, 581"
604,B. Industrial,06:00,21,1,0,12,2024-11-01,-43.36658251,-21.74392509,"Rua Doutor Henrique Burnier, 435"
604,B. Industrial,06:00,22,1,4,9,2024-11-01,-43.36540222,-21.74591255,"Avenida Coronel Vidal, 249"
604,B. Industrial,06:00,23,3,4,8,2024-11-01,-43.36340332,-21.74700281,"Avenida Rui Barbosa, 11"
604,B. Industrial,06:00,24,0,3,5,2024-11-01,-43.35760498,-21.74868965,"Avenida dos Andradas, 1103"
604,B. Industrial,06:00,25,0,3,2,2024-11-01,-43.3554039,-21.74975014,"Avenida dos Andradas, 811"
604,B. Industrial,06:00,26,0,1,1,2024-11-01,-43.35405207,-21.75141039,"Avenida dos Andradas, 555"
604,B. Industrial,06:00,27,0,1,0,2024-11-01,-43.35259628,-21.75338745,"Avenida dos Andradas, 309"
604,B. Industrial,06:00,28,4,0,4,2024-11-01,-43.35041428,-21.75621986,"Rua Jarbas de Leri Santos, 1665"
604,B. Industrial,06:00,29,0,4,0,2024-11-01,-43.3462677,-21.76042557,"Avenida Getúlio Vargas, 435"
604,B. Industrial,07:50,1,0,0,0,2024-11-01,-43.3462677,-21.76042557,"Avenida Getúlio Vargas, 435"
604,B. Industrial,07:50,2,2,0,2,2024-11-01,-43.34281158,-21.76041985,"Travessa Doutor Prisco, 16"
604,B. Industrial,07:50,3,0,0,2,2024-11-01,-43.34975433,-21.75461006,"Avenida Francisco Bernardino, 648"
604,B. Industrial,07:50,4,1,0,3,2024-11-01,-43.35216904,-21.75346756,"Avenida dos Andradas, 236"
604,B. Industrial,07:50,5,2,1,4,2024-11-01,-43.35367584,-21.75169373,"Avenida dos Andradas, 540"
604,B. Industrial,07:50,6,1,0,5,2024-11-01,-43.35520018,-21.74974601,"Avenida dos Andradas, 806"
604,B. Industrial,07:50,7,0,0,5,2024-11-01,-43.35827637,-21.74836922,"Avenida dos Andradas, 1170"
604,B. Industrial,07:50,8,0,1,4,2024-11-01,-43.36150896,-21.74748482,"Rua Mariano Procópio, 1396"
604,B. Industrial,07:50,9,0,1,3,2024-11-01,-43.36350729,-21.74662521,"Avenida Rui Barbosa, 22"
604,B. Industrial,07:50,10,1,0,4,2024-11-01,-43.36394501,-21.74394472,"Rua Américo Lobo, 56"
604,B. Industrial,07:50,11,0,0,4,2024-11-01,-43.36631393,-21.74326484,"Avenida Brasil, 538"
604,B. Industrial,07:50,12,0,1,3,2024-11-01,-43.36735916,-21.74192503,"Avenida Brasil, 5555"
604,B. Industrial,07:50,13,0,3,0,2024-11-01,-43.36945343,-21.7400074,"Avenida Brasil, 6150"
604,B. Industrial,07:50,14,0,0,0,2024-11-01,-43.37488174,-21.73755455,"Avenida Brasil, 11250 em frente ao Terminal Rodoviário"
604,B. Industrial,07:50,15,0,0,0,2024-11-01,-43.37690735,-21.73721504,"Avenida Brasil, 5000"
604,B. Industrial,07:50,16,0,0,0,2024-11-01,-43.37965393,-21.73678207,"Avenida Brasil, 7340"
604,B. Industrial,07:50,17,0,0,0,2024-11-01,-43.38218689,-21.73782539,"Rua Edgar de Paiva Aguiar, 135"
604,B. Industrial,07:50,18,0,0,0,2024-11-01,-43.38300157,-21.73862297,"Rua Francisco de Almeida, 247"
604,B. Industrial,07:50,19,0,0,0,2024-11-01,-43.38461685,-21.73765182,"Rua Francisco de Almeida, 138"
604,B. Industrial,07:50,20,0,0,0,2024-11-01,-43.38488841,-21.73829503,"Rua Hélio Tomás, 255"
604,B. Industrial,07:50,21,0,0,0,2024-11-01,-43.38384628,-21.73894926,"Rua Hélio Tomás, 101"
604,B. Industrial,07:50,22,0,0,0,2024-11-01,-43.38238144,-21.73697281,"Rua Martinho Gonçalves, 300"
604,B. Industrial,07:50,23,0,0,0,2024-11-01,-43.38383102,-21.73693848,"Avenida Brasil, 7690"
604,B. Industrial,07:50,24,0,0,0,2024-11-01,-43.38819504,-21.73647881,"Rua José de Araújo Braga, 285"
604,B. Industrial,07:50,25,0,0,0,2024-11-01,-43.38910675,-21.73591423,"Rua José de Araújo Braga, 241"
604,B. Industrial,07:50,26,0,0,0,2024-11-01,-43.39058757,-21.7352669,"Rua José de Araújo Braga, 95"
604,B. Industrial,07:50,27,0,0,0,2024-11-01,-43.39084625,-21.73412323,"Rua Artur Vieira, 6"
604,B. Industrial,07:50,28,0,0,0,2024-11-01,-43.39116836,-21.73315866,"Rua Artur Vieira, 140"
604,B. Industrial,07:50,29,0,0,0,2024-11-01,-43.3912468,-21.73210335,"Rua José Marangon, 58"
604,B. Industrial,07:50,30,0,0,0,2024-11-01,-43.39227331,-21.7326091,"Rua Augusto Mariani, 140"
604,B. Industrial,07:50,31,0,0,0,2024-11-01,-43.39283157,-21.73291206,"Rua Augusto Mariani, 230"
604,B. Industrial,07:50,32,0,0,0,2024-11-01,-43.39346599,-21.73226018,"Rua Avelino Milagres, 58"
604,B. Industrial,07:50,33,1,0,1,2024-11-01,-43.39408016,-21.73122499,"Rua Avelino Milagres, 180"
604,B. Industrial,07:50,34,1,0,2,2024-11-01,-43.39467595,-21.72974139,"Rua Francisco Lins, 96"
604,B. Industrial,07:50,35,0,0,2,2024-11-01,-43.39560318,-21.72930336,Rua Sylvio Ribeiro Aragão
604,B. Industrial,14:15,1,0,0,0,2024-11-01,-43.39560318,-21.72930336,Rua Sylvio Ribeiro Aragão
604,B. Industrial,14:15,2,2,0,2,2024-11-01,-43.39421034,-21.73130355,"Rua Avelino Milagres, 185"
604,B. Industrial,14:15,3,2,0,4,2024-11-01,-43.39360809,-21.73219681,"Rua Avelino Milagres, 117"
604,B. Industrial,14:15,4,0,0,4,2024-11-01,-43.39292908,-21.73300171,"Rua Augusto Mariani, 245"
604,B. Industrial,14:15,5,0,0,4,2024-11-01,-43.39185942,-21.73223348,"Rua Augusto Mariani, 95"
604,B. Industrial,14:15,6,0,0,4,2024-11-01,-43.39132351,-21.73216271,"Rua José Marangon, 59"
604,B. Industrial,14:15,7,0,0,4,2024-11-01,-43.39147055,-21.73305706,"Rua Nunes Lima, 173"
604,B. Industrial,14:15,8,0,0,4,2024-11-01,-43.39144117,-21.73449135,"Rua Nunes Lima, 35"
604,B. Industrial,14:15,9,0,0,4,2024-11-01,-43.39105606,-21.73516477,"Rua José de Araújo Braga, 50"
604,B. Industrial,14:15,10,1,1,4,2024-11-01,-43.38895035,-21.73605919,"Rua José de Araújo Braga, 260"
604,B. Industrial,14:15,11,0,0,4,2024-11-01,-43.38669557,-21.73806,"Rua José de Araújo Braga, 15"
604,B. Industrial,14:15,12,0,0,4,2024-11-01,-43.38583755,-21.73788071,"Rua José Manoel de Oliveira, 64"
604,B. Industrial,14:15,13,0,0,4,2024-11-01,-43.38488841,-21.73829503,"Rua Hélio Tomás, 255"
604,B. Industrial,14:15,14,0,0,4,2024-11-01,-43.38384628,-21.73894926,"Rua Hélio Tomás, 101"
604,B. Industrial,14:15,15,0,0,4,2024-11-01,-43.38400507,-21.73972776,"Rua Martinho Gonçalves, 25"
604,B. Industrial,14:15,16,0,0,4,2024-11-01,-43.38116658,-21.73918834,"Avenida Coronel Vidal, 801"
604,B. Industrial,14:15,17,0,0,4,2024-11-01,-43.37895203,-21.73764549,"Avenida Coronel Vidal, 431"
604,B. Industrial,14:15,18,0,0,4,2024-11-01,-43.37572194,-21.73948748,"Avenida Coronel Vidal, 59 em frente ao Terminal Rodoviário"
604,B. Industrial,14:15,19,3,0,7,2024-11-01,-43.37076259,-21.74137391,"Rua Doutor Henrique Burnier, 615"
604,B. Industrial,14:15,20,1,0,8,2024-11-01,-43.36898434,-21.7424784,"Rua Doutor Henrique Burnier, 581"
604,B. Industrial,14:15,21,0,0,8,2024-11-01,-43.36658251,-21.74392509,"Rua Doutor Henrique Burnier, 435"
604,B. Industrial,14:15,22,0,1,7,2024-11-01,-43.36540222,-21.74591255,"Avenida Coronel Vidal, 249"
604,B. Industrial,14:15,23,1,0,8,2024-11-01,-43.36340332,-21.74700281,"Avenida Rui Barbosa, 11"
604,B. Industrial,14:15,24,0,2,6,2024-11-01,-43.35760498,-21.74868965,"Avenida dos Andradas, 1103"
604,B. Industrial,14:15,25,0,2,4,2024-11-01,-43.3554039,-21.74975014,"Avenida dos Andradas, 811"
604,B. Industrial,14:15,26,1,2,3,2024-11-01,-43.35405207,-21.75141039,"Avenida dos Andradas, 555"
604,B. Industrial,14:15,27,0,0,3,2024-11-01,-43.35259628,-21.75338745,"Avenida dos Andradas, 309"
604,B. Industrial,14:15,28,0,0,3,2024-11-01,-43.35041428,-21.75621986,"Rua Jarbas de Leri Santos, 1665"
604,B. Industrial,14:15,29,0,1,2,2024-11-01,-43.3462677,-21.76042557,"Avenida Getúlio Vargas, 435"
604,B. Industrial,16:25,1,0,0,0,2024-11-01,-43.3462677,-21.76042557,"Avenida Getúlio Vargas, 435"
604,B. Industrial,16:25,2,1,0,1,2024-11-01,-43.34281158,-21.76041985,"Travessa Doutor Prisco, 16"
604,B. Industrial,16:25,3,0,0,1,2024-11-01,-43.34975433,-21.75461006,"Avenida Francisco Bernardino, 648"
604,B. Industrial,16:25,4,0,0,1,2024-11-01,-43.35216904,-21.75346756,"Avenida dos Andradas, 236"
604,B. Industrial,16:25,5,2,1,2,2024-11-01,-43.35367584,-21.75169373,"Avenida dos Andradas, 540"
604,B. Industrial,16:25,6,2,0,4,2024-11-01,-43.35520018,-21.74974601,"Avenida dos Andradas, 806"
604,B. Industrial,16:25,7,2,0,6,2024-11-01,-43.35827637,-21.74836922,"Avenida dos Andradas, 1170"
604,B. Industrial,16:25,8,0,1,5,2024-11-01,-43.36150896,-21.74748482,"Rua Mariano Procópio, 1396"
604,B. Industrial,16:25,9,0,1,4,2024-11-01,-43.36350729,-21.74662521,"Avenida Rui Barbosa, 22"
604,B. Industrial,16:25,10,1,0,5,2024-11-01,-43.36394501,-21.74394472,"Rua Américo Lobo, 56"
604,B. Industrial,16:25,11,0,0,5,2024-11-01,-43.36631393,-21.74326484,"Avenida Brasil, 538"
604,B. Industrial,16:25,12,0,1,4,2024-11-01,-43.36735916,-21.74192503,"Avenida Brasil, 5555"
604,B. Industrial,16:25,13,0,3,1,2024-11-01,-43.36945343,-21.7400074,"Avenida Brasil, 6150"
604,B. Industrial,16:25,14,0,0,1,2024-11-01,-43.37488174,-21.73755455,"Avenida Brasil, 11250 em frente ao Terminal Rodoviário"
604,B. Industrial,16:25,15,0,0,1,2024-11-01,-43.37690735,-21.73721504,"Avenida Brasil, 5000"
604,B. Industrial,16:25,16,0,0,1,2024-11-01,-43.37965393,-21.73678207,"Avenida Brasil, 7340"
604,B. Industrial,16:25,17,0,0,1,2024-11-01,-43.38218689,-21.73782539,"Rua Edgar de Paiva Aguiar, 135"
604,B. Industrial,16:25,18,0,0,1,2024-11-01,-43.38300157,-21.73862297,"Rua Francisco de Almeida, 247"
604,B. Industrial,16:25,19,0,0,1,2024-11-01,-43.38461685,-21.73765182,"Rua Francisco de Almeida, 138"
604,B. Industrial,16:25,20,0,0,1,2024-11-01,-43.38488841,-21.73829503,"Rua Hélio Tomás, 255"
604,B. Industrial,16:25,21,0,0,1,2024-11-01,-43.38384628,-21.73894926,"Rua Hélio Tomás, 101"
604,B. Industrial,16:25,22,0,0,1,2024-11-01,-43.38238144,-21.73697281,"Rua Martinho Gonçalves, 300"
604,B. Industrial,16:25,23,0,0,1,2024-11-01,-43.38383102,-21.73693848,"Avenida Brasil, 7690"
604,B. Industrial,16:25,24,0,1,0,2024-11-01,-43.38819504,-21.73647881,"Rua José de Araújo Braga, 285"
604,B. Industrial,16:25,25,1,0,1,2024-11-01,-43.38910675,-21.73591423,"Rua José de Araújo Braga, 241"
604,B. Industrial,16:25,26,0,0,1,2024-11-01,-43.39058757,-21.7352669,"Rua José de Araújo Braga, 95"
604,B. Industrial,16:25,27,0,0,1,2024-11-01,-43.39084625,-21.73412323,"Rua Artur Vieira, 6"
604,B. Industrial,16:25,28,0,0,1,2024-11-01,-43.39116836,-21.73315866,"Rua Artur Vieira, 140"
604,B. Industrial,16:25,29,0,0,1,2024-11-01,-43.3912468,-21.73210335,"Rua José Marangon, 58"
604,B. Industrial,16:25,30,0,0,1,2024-11-01,-43.39227331,-21.7326091,"Rua Augusto Mariani, 140"
604,B. Industrial,16:25,31,0,0,1,2024-11-01,-43.39283157,-21.73291206,"Rua Augusto Mariani, 230"
604,B. Industrial,16:25,32,0,1,0,2024-11-01,-43.39346599,-21.73226018,"Rua Avelino Milagres, 58"
604,B. Industrial,16:25,33,0,0,0,2024-11-01,-43.39408016,-21.73122499,"Rua Avelino Milagres, 180"
604,B. Industrial,16:25,34,1,0,1,2024-11-01,-43.39467595,-21.72974139,"Rua Francisco Lins, 96"
604,B. Industrial,16:25,35,0,0,1,2024-11-01,-43.39560318,-21.72930336,Rua Sylvio Ribeiro Aragão
604,B. Industrial,17:15,1,0,0,0,2024-11-01,-43.39560318,-21.72930336,Rua Sylvio Ribeiro Aragão
604,B. Industrial,17:15,2,1,0,1,2024-11-01,-43.39421034,-21.73130355,"Rua Avelino Milagres, 185"
604,B. Industrial,17:15,3,0,1,0,2024-11-01,-43.39360809,-21.73219681,"Rua Avelino Milagres, 117"
