routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
308,Retiro,04:45,1,0,0,0,2024-11-01,-43.29911187,-21.77361911,"Rua Imaculada Conceição, 85 - Ponto Final da Linha 308"
308,Retiro,04:45,2,0,0,0,2024-11-01,-43.29853671,-21.77350752,"Rua Imaculada Conceição, 31"
308,Retiro,04:45,3,1,0,1,2024-11-01,-43.29815382,-21.77390612,"Rua A, 191"
308,Retiro,04:45,4,0,0,1,2024-11-01,-43.29771805,-21.77488957,"Rua Irmã Emerenciana, 261"
308,Retiro,04:45,5,0,0,1,2024-11-01,-43.29766094,-21.77585881,"Rua Irmã Emerenciana, 161"
308,Retiro,04:45,6,0,0,1,2024-11-01,-43.29736811,-21.7771382,"Rua Irmã Emerenciana, 23"
308,Retiro,04:45,7,0,0,1,2024-11-01,-43.29791641,-21.77971591,BR-267 oeste
308,Retiro,04:45,8,0,0,1,2024-11-01,-43.29914474,-21.78211594,"Avenida Doutor Francisco Álvares de Assis, 1677"
308,Retiro,04:45,9,0,0,1,2024-11-01,-43.30096054,-21.78477564,"Avenida Doutor Francisco Álvares de Assis, 515"
308,Retiro,04:45,10,0,0,1,2024-11-01,-43.29965973,-21.78769493,"Avenida Doutor Francisco Álvares de Assis, 161"
308,Retiro,04:45,11,0,0,1,2024-11-01,-43.30098724,-21.78921509,"Avenida Doutor Francisco Álvares de Assis, 33"
308,Retiro,04:45,12,0,0,1,2024-11-01,-43.30260849,-21.79086685,"Avenida Doutor Francisco Álvares de Assis, 409"
308,Retiro,04:45,13,0,0,1,2024-11-01,-43.30500257,-21.79125071,BR-267 oeste - Trevo LMG-874
308,Retiro,04:45,14,0,0,1,2024-11-01,-43.30514145,-21.7893734,BR-267 oeste
308,Retiro,04:45,15,0,0,1,2024-11-01,-43.31121063,-21.78772926,BR-267 oeste
308,Retiro,04:45,16,2,0,3,2024-11-01,-43.31265259,-21.79029465,BR-267 oeste
308,Retiro,04:45,17,0,0,3,2024-11-01,-43.32365036,-21.79171181,BR-267 oeste
308,Retiro,04:45,18,0,0,3,2024-11-01,-43.32560349,-21.78953171,BR-267 oeste
308,Retiro,04:45,19,0,0,3,2024-11-01,-43.32250977,-21.78697968,BR-267 oeste
308,Retiro,04:45,20,0,0,3,2024-11-01,-43.32152546,-21.78096666,"Avenida Francisco Valadares, 3050"
308,Retiro,04:45,21,0,0,3,2024-11-01,-43.32316589,-21.77812386,"Avenida Francisco Valadares, 2785"
