routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
203,Marumbi,10071267,05:55,1,0,0,0,2024-11-02,-43.34025753,-21.72898114,05:55,"Rua Manoel Gonçalves Coelho, 155 - Ponto Final do Marumbi"
203,Marumbi,10071272,05:55,2,0,0,0,2024-11-02,-43.34047318,-21.73038292,05:55:52,"Rua Marumbi, 675"
203,Marumbi,10073409,05:55,3,0,0,0,2024-11-02,-43.34141541,-21.73089027,05:56:33,"Rua Barão do Retiro, 1405"
203,Marumbi,10073404,05:55,4,0,0,0,2024-11-02,-43.34307098,-21.73165703,05:56:43,"Rua Barão do Retiro, 1231"
203,Marumbi,10073522,05:55,5,1,0,1,2024-11-02,-43.34421838,-21.73273099,05:56:53,"Rua Barão do Retiro, 1109"
203,Marumbi,10073506,05:55,6,0,1,0,2024-11-02,-43.34487724,-21.73453448,05:57:33,"Rua Barão do Retiro, 877"
203,Marumbi,10073505,05:55,7,1,0,1,2024-11-02,-43.34556007,-21.73661633,05:57:53,"Rua Barão do Retiro, 657"
203,Marumbi,10073497,05:55,8,1,0,2,2024-11-02,-43.34600449,-21.73820686,05:58:33,"Rua Barão do Retiro, 461"
203,Marumbi,10071951,05:55,9,0,0,2,2024-11-02,-43.3474257,-21.73826156,05:59:22,"Rua Américo Lobo, 1895"
203,Marumbi,10071961,05:55,10,0,0,2,2024-11-02,-43.34877014,-21.74048424,06:00:13,"Rua Américo Lobo, 1611"
203,Marumbi,10071966,05:55,11,0,0,2,2024-11-02,-43.35047913,-21.74190521,06:00:53,"Rua Américo Lobo, 1355"
203,Marumbi,10071963,05:55,12,0,1,1,2024-11-02,-43.35154343,-21.74248505,06:01:53,"Rua Américo Lobo, 1241"
203,Marumbi,10071941,05:55,13,1,0,2,2024-11-02,-43.3528595,-21.74289131,06:02:33,"Rua Américo Lobo, 1093"
203,Marumbi,10072571,05:55,14,0,0,2,2024-11-02,-43.35439063,-21.74372606,06:03:33,"Avenida Barão do Rio Branco, 510"
203,Marumbi,10070912,05:55,15,2,0,4,2024-11-02,-43.35329926,-21.74750417,06:05:33,"Avenida Barão do Rio Branco, 950"
203,Marumbi,10070848,05:55,16,0,0,4,2024-11-02,-43.35280842,-21.74943617,06:07:13,"Avenida Barão do Rio Branco, 1200"
203,Marumbi,10073818,05:55,17,0,1,3,2024-11-02,-43.34666824,-21.76015854,06:07:13,"Avenida Getúlio Vargas, 475"
203,Marumbi,10071267,06:55,1,0,0,0,2024-11-02,-43.34025753,-21.72898114,06:55,"Rua Manoel Gonçalves Coelho, 155 - Ponto Final do Marumbi"
203,Marumbi,10071272,06:55,2,1,0,1,2024-11-02,-43.34047318,-21.73038292,06:56:10,"Rua Marumbi, 675"
203,Marumbi,10073409,06:55,3,0,1,0,2024-11-02,-43.34141541,-21.73089027,06:57:10,"Rua Barão do Retiro, 1405"
203,Marumbi,10073404,06:55,4,0,0,0,2024-11-02,-43.34307098,-21.73165703,06:57:30,"Rua Barão do Retiro, 1231"
203,Marumbi,10073522,06:55,5,0,0,0,2024-11-02,-43.34421838,-21.73273099,06:57:50,"Rua Barão do Retiro, 1109"
203,Marumbi,10073506,06:55,6,1,0,1,2024-11-02,-43.34487724,-21.73453448,06:58:10,"Rua Barão do Retiro, 877"
203,Marumbi,10073505,06:55,7,2,0,3,2024-11-02,-43.34556007,-21.73661633,06:58:50,"Rua Barão do Retiro, 657"
203,Marumbi,10073497,06:55,8,4,0,7,2024-11-02,-43.34600449,-21.73820686,06:59:30,"Rua Barão do Retiro, 461"
203,Marumbi,10071951,06:55,9,0,0,7,2024-11-02,-43.3474257,-21.73826156,07:00:30,"Rua Américo Lobo, 1895"
203,Marumbi,10071961,06:55,10,2,0,9,2024-11-02,-43.34877014,-21.74048424,07:01:10,"Rua Américo Lobo, 1611"
203,Marumbi,10071966,06:55,11,0,0,9,2024-11-02,-43.35047913,-21.74190521,07:02:10,"Rua Américo Lobo, 1355"
203,Marumbi,10071963,06:55,12,0,0,9,2024-11-02,-43.35154343,-21.74248505,07:02:30,"Rua Américo Lobo, 1241"
203,Marumbi,10071941,06:55,13,1,0,10,2024-11-02,-43.3528595,-21.74289131,07:03:10,"Rua Américo Lobo, 1093"
203,Marumbi,10072571,06:55,14,0,0,10,2024-11-02,-43.35439063,-21.74372606,07:03:50,"Avenida Barão do Rio Branco, 510"
203,Marumbi,10070912,06:55,15,0,1,9,2024-11-02,-43.35329926,-21.74750417,07:06:10,"Avenida Barão do Rio Branco, 950"
203,Marumbi,10070848,06:55,16,0,0,9,2024-11-02,-43.35280842,-21.74943617,07:07:50,"Avenida Barão do Rio Branco, 1200"
203,Marumbi,10073818,06:55,17,0,4,5,2024-11-02,-43.34666824,-21.76015854,07:07:50,"Avenida Getúlio Vargas, 475"
203,Marumbi,10071267,07:55,1,0,0,0,2024-11-02,-43.34025753,-21.72898114,07:56:48,"Rua Manoel Gonçalves Coelho, 155 - Ponto Final do Marumbi"
203,Marumbi,10071272,07:55,2,1,0,1,2024-11-02,-43.34047318,-21.73038292,07:57:07,"Rua Marumbi, 675"
203,Marumbi,10073409,07:55,3,0,1,0,2024-11-02,-43.34141541,-21.73089027,07:58:27,"Rua Barão do Retiro, 1405"
203,Marumbi,10073404,07:55,4,1,0,1,2024-11-02,-43.34307098,-21.73165703,07:58:47,"Rua Barão do Retiro, 1231"
203,Marumbi,10073522,07:55,5,0,0,1,2024-11-02,-43.34421838,-21.73273099,07:59:07,"Rua Barão do Retiro, 1109"
203,Marumbi,10073506,07:55,6,1,1,1,2024-11-02,-43.34487724,-21.73453448,07:59:27,"Rua Barão do Retiro, 877"
203,Marumbi,10073505,07:55,7,0,0,1,2024-11-02,-43.34556007,-21.73661633,08:00:24,"Rua Barão do Retiro, 657"
203,Marumbi,10073497,07:55,8,0,0,1,2024-11-02,-43.34600449,-21.73820686,08:00:32,"Rua Barão do Retiro, 461"
203,Marumbi,10071951,07:55,9,3,0,4,2024-11-02,-43.3474257,-21.73826156,08:01:05,"Rua Américo Lobo, 1895"
203,Marumbi,10071961,07:55,10,0,0,4,2024-11-02,-43.34877014,-21.74048424,08:02:27,"Rua Américo Lobo, 1611"
