routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
728,NOVA BENFICA,05:05,1,0,0,0,2024-11-28,-43.44159698,-21.70265696,"Rua I, 31 - Ponto Final do Nova Benfica"
728,NOVA BENFICA,05:05,2,0,0,0,2024-11-28,-43.44166267,-21.70188288,"Rua Joaquim Manoel de Souza, 67"
728,NOVA BENFICA,05:05,3,0,0,0,2024-11-28,-43.44079757,-21.7007103,"Rua Assuene Antônio Ribeiro, 559"
728,NOVA BENFICA,05:05,4,0,0,0,2024-11-28,-43.44012821,-21.70017875,"Rua José Ribeiro de Mattos, 60"
728,NOVA BENFICA,05:05,5,0,0,0,2024-11-28,-43.4395411,-21.69846079,"Rua Poeta Célio Grunewald, 631"
728,NOVA BENFICA,05:05,6,0,0,0,2024-11-28,-43.43891549,-21.69684601,"Rua Poeta Célio Grunewald, 381"
728,NOVA BENFICA,05:05,7,0,0,0,2024-11-28,-43.43896687,-21.6955289,"Rua Poeta Célio Grunewald, 321"
728,NOVA BENFICA,05:05,8,0,0,0,2024-11-28,-43.43955577,-21.69367175,"Rua Poeta Célio Grunewald, 95"
728,NOVA BENFICA,05:05,9,0,0,0,2024-11-28,-43.44049409,-21.69385963,"Rua Aurino Tenório de Medeiros, 237"
728,NOVA BENFICA,05:05,10,0,0,0,2024-11-28,-43.44043334,-21.69478878,"Rua Aurino Tenório de Medeiros, 169"
728,NOVA BENFICA,05:05,11,3,0,3,2024-11-28,-43.44105256,-21.6952949,"Rua Henrique Dias, 1051"
728,NOVA BENFICA,05:05,12,2,2,3,2024-11-28,-43.44110708,-21.69358905,"Rua Henrique Dias, 855"
728,NOVA BENFICA,05:05,13,0,0,3,2024-11-28,-43.44066447,-21.69230615,"Rua Henrique Dias, 695"
728,NOVA BENFICA,05:05,14,0,0,3,2024-11-28,-43.4399597,-21.69158219,"Rua Henrique Dias, 615"
728,NOVA BENFICA,05:05,15,0,2,1,2024-11-28,-43.438797,-21.69066811,"Rua Henrique Dias, 505"
728,NOVA BENFICA,05:05,16,1,1,1,2024-11-28,-43.43704559,-21.6899913,"Rua Henrique Dias, 327"
728,NOVA BENFICA,05:05,17,1,0,2,2024-11-28,-43.43510031,-21.68936712,"Rua Henrique Dias, 125"
728,NOVA BENFICA,05:05,18,4,2,4,2024-11-28,-43.43422616,-21.68910243,"Rua Henrique Dias, 33"
728,NOVA BENFICA,05:05,19,1,2,3,2024-11-28,-43.43270051,-21.69100571,Avenida Presidente Juscelino Kubitschek
728,NOVA BENFICA,05:05,20,0,2,1,2024-11-28,-43.43220901,-21.69226456,"Avenida Presidente Juscelino Kubitschek, 6313"
728,NOVA BENFICA,05:05,21,2,0,3,2024-11-28,-43.43114471,-21.69452095,"Avenida Presidente Juscelino Kubitschek, 6145"
728,NOVA BENFICA,05:05,22,0,0,3,2024-11-28,-43.4296527,-21.69548979,"Avenida Presidente Juscelino Kubitschek, 5901"
728,NOVA BENFICA,05:05,23,0,0,3,2024-11-28,-43.42842102,-21.69607162,"Avenida Presidente Juscelino Kubitschek, 5890"
728,NOVA BENFICA,05:05,24,0,0,3,2024-11-28,-43.42580032,-21.69803441,"Avenida Presidente Juscelino Kubitschek, 5637"
728,NOVA BENFICA,05:05,25,3,1,5,2024-11-28,-43.42345428,-21.6999334,"Avenida Presidente Juscelino Kubitschek, 5531"
728,NOVA BENFICA,05:05,26,0,1,4,2024-11-28,-43.4222374,-21.70114708,"Avenida Presidente Juscelino Kubitschek, 5681"
728,NOVA BENFICA,05:05,27,0,0,4,2024-11-28,-43.42105639,-21.70241547,Avenida Presidente Juscelino Kubitschek
728,NOVA BENFICA,05:05,28,2,0,6,2024-11-28,-43.41947937,-21.70394897,"Avenida Presidente Juscelino Kubitschek, 4905"
728,NOVA BENFICA,05:05,29,1,0,7,2024-11-28,-43.41827178,-21.70518943,"Avenida Presidente Juscelino Kubitschek, 5035"
728,NOVA BENFICA,05:05,30,0,1,6,2024-11-28,-43.41664994,-21.70713591,"Avenida Presidente Juscelino Kubitschek, 4795"
728,NOVA BENFICA,05:05,31,0,1,5,2024-11-28,-43.41618145,-21.70808879,"Avenida Presidente Juscelino Kubitschek, 4455"
