routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
705,JÓQUEI CLUBE III,10071099,11:10,1,0,0,0,2024-11-02,-43.34804809,-21.75911568,11:10,"Avenida Getúlio Vargas, 661"
705,JÓQUEI CLUBE III,10071116,11:10,2,9,0,9,2024-11-02,-43.34295273,-21.76057053,11:13:39,"Travessa Doutor Prisco, 30"
705,JÓQUEI CLUBE III,10070900,11:10,3,0,0,9,2024-11-02,-43.34937286,-21.75488663,11:15:09,"Avenida Francisco Bernardino, 582"
705,JÓQUEI CLUBE III,10071960,11:10,4,2,0,11,2024-11-02,-43.35216904,-21.75346756,11:16:39,"Avenida dos Andradas, 236"
705,JÓQUEI CLUBE III,10071958,11:10,5,0,0,11,2024-11-02,-43.35367584,-21.75169373,11:19:19,"Avenida dos Andradas, 540"
705,JÓQUEI CLUBE III,10074311,11:10,6,1,0,12,2024-11-02,-43.35520018,-21.74974601,11:20:19,"Avenida dos Andradas, 806"
705,JÓQUEI CLUBE III,10074505,11:10,7,0,0,12,2024-11-02,-43.35827637,-21.74836922,11:21:39,"Avenida dos Andradas, 1170"
705,JÓQUEI CLUBE III,10074503,11:10,8,3,1,14,2024-11-02,-43.36150896,-21.74748482,11:23:59,"Rua Mariano Procópio, 1396"
705,JÓQUEI CLUBE III,10069651,11:10,9,0,1,13,2024-11-02,-43.36350729,-21.74662521,11:24:59,"Avenida Rui Barbosa, 22"
705,JÓQUEI CLUBE III,10074625,11:10,10,1,0,14,2024-11-02,-43.36394501,-21.74394472,11:25:59,"Rua Américo Lobo, 56"
705,JÓQUEI CLUBE III,10074596,11:10,11,0,2,12,2024-11-02,-43.36631393,-21.74326484,11:27,"Avenida Brasil, 538"
705,JÓQUEI CLUBE III,10074604,11:10,12,0,0,12,2024-11-02,-43.36735916,-21.74192503,11:27:20,"Avenida Brasil, 5555"
705,JÓQUEI CLUBE III,10074605,11:10,13,1,12,1,2024-11-02,-43.36945343,-21.7400074,11:27:40,"Avenida Brasil, 6150"
705,JÓQUEI CLUBE III,10074606,11:10,14,0,0,1,2024-11-02,-43.37488174,-21.73755455,11:29,"Avenida Brasil, 11250 em frente ao Terminal Rodoviário"
705,JÓQUEI CLUBE III,10074607,11:10,15,0,0,1,2024-11-02,-43.37690735,-21.73721504,11:29:20,"Avenida Brasil, 5000"
705,JÓQUEI CLUBE III,10074609,11:10,16,0,0,1,2024-11-02,-43.37965393,-21.73678207,11:29:40,"Avenida Brasil, 7340"
705,JÓQUEI CLUBE III,10074672,11:10,17,0,0,1,2024-11-02,-43.38383102,-21.73693848,11:30:20,"Avenida Brasil, 7690"
705,JÓQUEI CLUBE III,10069692,11:10,18,0,0,1,2024-11-02,-43.38724327,-21.73561668,11:30:40,"Avenida Brasil, 10800"
705,JÓQUEI CLUBE III,10069630,11:10,19,1,0,2,2024-11-02,-43.38912582,-21.73257065,11:31:20,"Avenida Brasil, 11052"
705,JÓQUEI CLUBE III,10069611,11:10,20,0,0,2,2024-11-02,-43.39238739,-21.73009872,11:32:10,"Avenida Garcia Rodrigues Paes, 1200"
705,JÓQUEI CLUBE III,10069663,11:10,21,1,2,1,2024-11-02,-43.39233017,-21.72805023,11:33,"Avenida Garcia Rodrigues Paes, 12040"
705,JÓQUEI CLUBE III,10069636,11:10,22,0,0,1,2024-11-02,-43.39315033,-21.72387886,11:37:29,"Avenida Garcia Rodrigues Paes, 12460"
705,JÓQUEI CLUBE III,10072031,11:10,23,5,0,6,2024-11-02,-43.39604568,-21.72336197,11:38:15,"Avenida Doardino Longo, 699"
705,JÓQUEI CLUBE III,10072036,11:10,24,0,0,6,2024-11-02,-43.3959766,-21.72231954,11:38:47,"Avenida Doardino Longo, 44"
705,JÓQUEI CLUBE III,10072033,11:10,25,0,0,6,2024-11-02,-43.3957907,-21.72159647,11:39:19,"Rua Nair do Prado Manso, 32"
705,JÓQUEI CLUBE III,10072040,11:10,26,0,0,6,2024-11-02,-43.39511633,-21.72084236,11:39:41,"Rua Professora Maria da Conceição Lopes Vasconcelos, 90"
705,JÓQUEI CLUBE III,10072015,11:10,27,0,0,6,2024-11-02,-43.39575804,-21.7196747,11:40:01,"Rua José Maron, 240"
705,JÓQUEI CLUBE III,10072020,11:10,28,0,0,6,2024-11-02,-43.39773918,-21.71903663,11:40:41,"Rua Engenheiro Hugo Vocurca Filho, 455"
705,JÓQUEI CLUBE III,10072087,11:10,29,2,0,8,2024-11-02,-43.39945054,-21.71786746,11:41:01,"Rua Confrade Manoel Américo da Luz, 102"
705,JÓQUEI CLUBE III,10074546,11:10,30,0,0,8,2024-11-02,-43.4020673,-21.71534981,11:42:20,"Avenida Eudóxio Infante Vieira, 132"
705,JÓQUEI CLUBE III,10074544,11:10,31,0,0,8,2024-11-02,-43.40544165,-21.71269509,11:43:39,"Rua Padre Ernani Siemetz, 26"
705,JÓQUEI CLUBE III,10074551,11:10,32,0,0,8,2024-11-02,-43.40468216,-21.71096045,11:44:21,Rua Ridel Pereira da Silva
705,JÓQUEI CLUBE III,10074563,11:10,33,0,0,8,2024-11-02,-43.40576187,-21.71019676,11:45:01,"Rua Ridel Pereira da Silva, 310"
705,JÓQUEI CLUBE III,10074561,11:10,34,0,0,8,2024-11-02,-43.40585936,-21.709182,11:45:31,"Rua Major Octávio Ferreira, 85"
705,JÓQUEI CLUBE III,10074438,11:10,35,0,0,8,2024-11-02,-43.40678448,-21.70863266,11:46:01,"Rua Alexandre Henriques Silva, 211"
705,JÓQUEI CLUBE III,10074437,11:10,36,0,0,8,2024-11-02,-43.40701127,-21.70981994,11:46:21,"Rua Alexandre Henriques Silva, 19"
705,JÓQUEI CLUBE III,10074455,11:10,37,0,0,8,2024-11-02,-43.4064796,-21.71037754,11:46:41,"Rua Ridel Pereira da Silva, 252"
705,JÓQUEI CLUBE III,10074454,11:10,38,0,0,8,2024-11-02,-43.40631382,-21.71122092,11:47:01,"Rua E, 37"
705,JÓQUEI CLUBE III,10074560,11:10,39,1,0,9,2024-11-02,-43.40705598,-21.71086564,11:47:21,"Rua Fausto Moreira Teixeira, 88"
705,JÓQUEI CLUBE III,10074494,11:10,40,0,0,9,2024-11-02,-43.40896499,-21.71049995,11:47:41,"Avenida Eudóxio Infante Vieira, 26"
705,JÓQUEI CLUBE III,10074588,11:10,41,0,0,9,2024-11-02,-43.40878457,-21.70971605,11:48:01,"Avenida Eudóxio Infante Vieira, 69"
705,JÓQUEI CLUBE III,10071056,11:10,42,0,0,9,2024-11-02,-43.40664816,-21.70474606,11:48:21,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10074432,11:10,43,0,0,9,2024-11-02,-43.40352684,-21.69627701,11:48:41,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10074430,11:10,44,0,0,9,2024-11-02,-43.40261895,-21.69426392,11:49:01,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10071044,11:10,45,0,0,9,2024-11-02,-43.40254032,-21.69277985,11:49:21,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10071049,11:10,46,0,0,9,2024-11-02,-43.39475056,-21.68050871,11:49:41,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10074484,11:10,47,0,0,9,2024-11-02,-43.39863205,-21.6815033,11:50:01,Estrada da Remonta norte
705,JÓQUEI CLUBE III,10071052,11:10,48,0,0,9,2024-11-02,-43.40067673,-21.6829071,11:50:21,Estrada da Remonta - Ponto Final da Represa
705,JÓQUEI CLUBE III,10071052,21:45,1,0,0,0,2024-11-02,-43.40067673,-21.6829071,21:45,Estrada da Remonta - Ponto Final da Represa
705,JÓQUEI CLUBE III,10071065,21:45,2,0,0,0,2024-11-02,-43.39849854,-21.68167601,21:45:57,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10071039,21:45,3,0,0,0,2024-11-02,-43.39474177,-21.68069259,21:46:58,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10401710,21:45,4,0,0,0,2024-11-02,-43.40265584,-21.69275941,21:49:58,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10074429,21:45,5,0,0,0,2024-11-02,-43.40270412,-21.69397232,21:50:38,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10401711,21:45,6,0,0,0,2024-11-02,-43.40363465,-21.69625508,21:51:18,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10074540,21:45,7,0,0,0,2024-11-02,-43.40675121,-21.70463421,21:51:58,Estrada da Remonta sul
705,JÓQUEI CLUBE III,10074428,21:45,8,0,0,0,2024-11-02,-43.40893966,-21.70967339,21:53:13,"Avenida Eudóxio Infante Vieira, 53"
705,JÓQUEI CLUBE III,10074485,21:45,9,0,0,0,2024-11-02,-43.40904975,-21.71064128,21:53:34,"Avenida Eudóxio Infante Vieira, 25"
705,JÓQUEI CLUBE III,10074413,21:45,10,0,0,0,2024-11-02,-43.40608048,-21.71281187,21:54:18,"Avenida Eudóxio Infante Vieira, 313"
705,JÓQUEI CLUBE III,10071069,21:45,11,0,0,0,2024-11-02,-43.402156,-21.71549563,21:55:18,"Avenida Eudóxio Infante Vieira, 132"
705,JÓQUEI CLUBE III,10072084,21:45,12,0,0,0,2024-11-02,-43.40030289,-21.71796452,21:56:18,"Avenida Jornalista Djalma Medeiros, 90"
705,JÓQUEI CLUBE III,10072086,21:45,13,0,0,0,2024-11-02,-43.40008062,-21.71824837,21:56:42,"Rua Honório de Brito, 92"
705,JÓQUEI CLUBE III,10072020,21:45,14,0,0,0,2024-11-02,-43.39773918,-21.71903663,21:57:18,"Rua Engenheiro Hugo Vocurca Filho, 455"
705,JÓQUEI CLUBE III,10072017,21:45,15,0,0,0,2024-11-02,-43.39678657,-21.71976191,21:57:38,"Rua Engenheiro Hugo Vocurca Filho, 315"
705,JÓQUEI CLUBE III,10072013,21:45,16,0,0,0,2024-11-02,-43.39570391,-21.72130043,21:57:58,"Rua Engenheiro Hugo Vocurca Filho, 147"
705,JÓQUEI CLUBE III,10072034,21:45,17,0,0,0,2024-11-02,-43.39609909,-21.72219335,21:58:18,"Avenida Doardino Longo, 735"
705,JÓQUEI CLUBE III,10072032,21:45,18,0,0,0,2024-11-02,-43.39619064,-21.72356033,21:58:38,Avenida Doardino Longo
705,JÓQUEI CLUBE III,10069666,21:45,19,0,0,0,2024-11-02,-43.39274752,-21.72557831,21:59:58,"Avenida Garcia Rodrigues Paes, 12425"
705,JÓQUEI CLUBE III,10069664,21:45,20,5,0,5,2024-11-02,-43.39249349,-21.728025,22:00:18,"Avenida Garcia Rodrigues Paes, 12045"
705,JÓQUEI CLUBE III,10069616,21:45,21,0,0,5,2024-11-02,-43.39201677,-21.73103979,22:01:38,"Avenida Garcia Rodrigues Paes, 1049"
705,JÓQUEI CLUBE III,10069634,21:45,22,0,1,4,2024-11-02,-43.38931656,-21.7327404,22:03:08,"Avenida Brasil, 11017"
705,JÓQUEI CLUBE III,10069696,21:45,23,0,0,4,2024-11-02,-43.38753688,-21.73523657,22:04:38,"Avenida Brasil, 10801"
705,JÓQUEI CLUBE III,10069716,21:45,24,0,0,4,2024-11-02,-43.38669557,-21.73806,22:05:18,"Rua José de Araújo Braga, 15"
705,JÓQUEI CLUBE III,10069726,21:45,25,0,0,4,2024-11-02,-43.3843689,-21.74000168,22:05:38,"Avenida Coronel Vidal, 2999"
705,JÓQUEI CLUBE III,10069670,21:45,26,0,0,4,2024-11-02,-43.38116658,-21.73918834,22:06:18,"Avenida Coronel Vidal, 801"
705,JÓQUEI CLUBE III,10069667,21:45,27,0,0,4,2024-11-02,-43.37895203,-21.73764549,22:06:38,"Avenida Coronel Vidal, 431"
705,JÓQUEI CLUBE III,10069687,21:45,28,0,0,4,2024-11-02,-43.37572194,-21.73948748,22:07:18,"Avenida Coronel Vidal, 59 em frente ao Terminal Rodoviário"
