routeshortname,routelongname,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
722,SANTA CRUZ,20:00,1,0,0,0,2024-11-29,-43.34804809,-21.75911568,"Avenida Getúlio Vargas, 661"
722,SANTA CRUZ,20:00,2,3,0,3,2024-11-29,-43.34295273,-21.76057053,"Travessa Doutor Prisco, 30"
722,SANTA CRUZ,20:00,3,0,0,3,2024-11-29,-43.34937286,-21.75488663,"Avenida Francisco Bernardino, 582"
722,SANTA CRUZ,20:00,4,2,0,5,2024-11-29,-43.35174942,-21.74833298,"Avenida Brasil, 3762"
722,SANTA CRUZ,20:00,5,1,0,6,2024-11-29,-43.35479736,-21.74449158,"Avenida Brasil, 2872"
722,SANTA CRUZ,20:00,6,0,0,6,2024-11-29,-43.35712433,-21.744133,"Avenida Brasil, 4200"
722,SANTA CRUZ,20:00,7,0,3,3,2024-11-29,-43.35931015,-21.74397659,"Rua Américo Lobo, 421"
722,SANTA CRUZ,20:00,8,3,3,3,2024-11-29,-43.36394501,-21.74394472,"Rua Américo Lobo, 56"
722,SANTA CRUZ,20:00,9,0,0,3,2024-11-29,-43.36631393,-21.74326484,"Avenida Brasil, 538"
722,SANTA CRUZ,20:00,10,0,0,3,2024-11-29,-43.36735916,-21.74192503,"Avenida Brasil, 5555"
722,SANTA CRUZ,20:00,11,2,2,3,2024-11-29,-43.36945343,-21.7400074,"Avenida Brasil, 6150"
722,SANTA CRUZ,20:00,12,0,0,3,2024-11-29,-43.37488174,-21.73755455,"Avenida Brasil, 11250 em frente ao Terminal Rodoviário"
722,SANTA CRUZ,20:00,13,0,0,3,2024-11-29,-43.37690735,-21.73721504,"Avenida Brasil, 5000"
722,SANTA CRUZ,20:00,14,0,0,3,2024-11-29,-43.37965393,-21.73678207,"Avenida Brasil, 7340"
722,SANTA CRUZ,20:00,15,0,0,3,2024-11-29,-43.38383102,-21.73693848,"Avenida Brasil, 7690"
722,SANTA CRUZ,20:00,16,0,0,3,2024-11-29,-43.38864165,-21.73695503,"Avenida Presidente Juscelino Kubitschek, 190"
722,SANTA CRUZ,20:00,17,1,0,4,2024-11-29,-43.39021683,-21.73627853,"Avenida Presidente Juscelino Kubitschek, 324"
722,SANTA CRUZ,20:00,18,0,0,4,2024-11-29,-43.39201355,-21.73573494,"Avenida Presidente Juscelino Kubitschek, 456"
722,SANTA CRUZ,20:00,19,0,2,2,2024-11-29,-43.39437866,-21.73438644,"Avenida Presidente Juscelino Kubitschek, 850"
722,SANTA CRUZ,20:00,20,0,0,2,2024-11-29,-43.39553452,-21.73157883,"Avenida Presidente Juscelino Kubitschek, 1000"
722,SANTA CRUZ,20:00,21,0,2,0,2024-11-29,-43.39614201,-21.72715187,"Avenida Presidente Juscelino Kubitschek, 1600"
722,SANTA CRUZ,20:00,22,0,0,0,2024-11-29,-43.3963691,-21.72212446,"Avenida Presidente Juscelino Kubitschek, 2400"
722,SANTA CRUZ,20:00,23,0,0,0,2024-11-29,-43.40008164,-21.71887305,"Avenida Presidente Juscelino Kubitschek, 2900"
