routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,stopname
204,Santa Paula,10072006,15:00:00,7,0,0,7,2025-01-03T00:00:00.000Z,-43.347243010000,-21.730791520000,"Rua Augusto Stoppa, 163"
204,Santa Paula,10071966,15:00:00,14,0,0,18,2025-01-03T00:00:00.000Z,-43.350479130000,-21.741905210000,"Rua Américo Lobo, 1355"
204,Santa Paula,10072866,15:00:00,1,0,0,0,2025-01-03T00:00:00.000Z,-43.341475010000,-21.726341560000,"Rua Vitar Maria de Oliveira, 1061 - Ponto Final do Santa Paula"
204,Santa Paula,10071961,15:00:00,13,1,0,18,2025-01-03T00:00:00.000Z,-43.348770140000,-21.740484240000,"Rua Américo Lobo, 1611"
204,Santa Paula,10072872,15:00:00,2,3,0,3,2025-01-03T00:00:00.000Z,-43.342731480000,-21.726816180000,"Rua Vitar Maria de Oliveira, 929"
204,Santa Paula,10071941,15:00:00,16,2,3,17,2025-01-03T00:00:00.000Z,-43.352859500000,-21.742891310000,"Rua Américo Lobo, 1093"
204,Santa Paula,10073818,15:00:00,20,0,2,13,2025-01-03T00:00:00.000Z,-43.346668240000,-21.760158540000,"Avenida Getúlio Vargas, 475"
204,Santa Paula,10071951,15:00:00,12,3,2,17,2025-01-03T00:00:00.000Z,-43.347425700000,-21.738261560000,"Rua Américo Lobo, 1895"
204,Santa Paula,10072050,15:00:00,9,5,0,16,2025-01-03T00:00:00.000Z,-43.346224780000,-21.734500890000,"Rua Américo Lobo, 2317"
204,Santa Paula,10070912,15:00:00,18,0,0,16,2025-01-03T00:00:00.000Z,-43.353299260000,-21.747504170000,"Avenida Barão do Rio Branco, 950"
204,Santa Paula,10071999,15:00:00,8,5,1,11,2025-01-03T00:00:00.000Z,-43.347454840000,-21.731981110000,"Rua Augusto Stoppa, 21"
204,Santa Paula,10072571,15:00:00,17,1,2,16,2025-01-03T00:00:00.000Z,-43.354390630000,-21.743726060000,"Avenida Barão do Rio Branco, 510"
204,Santa Paula,10072051,15:00:00,10,0,0,16,2025-01-03T00:00:00.000Z,-43.346355440000,-21.735549930000,"Rua Américo Lobo, 2165"
204,Santa Paula,10072873,15:00:00,3,1,0,4,2025-01-03T00:00:00.000Z,-43.343822480000,-21.727081300000,"Rua Vitar Maria de Oliveira, 813"
204,Santa Paula,10072044,15:00:00,6,0,0,7,2025-01-03T00:00:00.000Z,-43.347378370000,-21.729481600000,"Rua Vitar Maria de Oliveira, 295"
204,Santa Paula,10070848,15:00:00,19,0,1,15,2025-01-03T00:00:00.000Z,-43.352808420000,-21.749436170000,"Avenida Barão do Rio Branco, 1200"
204,Santa Paula,10072868,15:00:00,5,3,0,7,2025-01-03T00:00:00.000Z,-43.346045850000,-21.728113790000,"Rua Vitar Maria de Oliveira, 539"
204,Santa Paula,10071963,15:00:00,15,0,0,18,2025-01-03T00:00:00.000Z,-43.351543430000,-21.742485050000,"Rua Américo Lobo, 1241"
204,Santa Paula,10071166,15:00:00,4,0,0,4,2025-01-03T00:00:00.000Z,-43.344905020000,-21.727328950000,"Rua Vitar Maria de Oliveira, 689"
204,Santa Paula,10072048,15:00:00,11,0,0,16,2025-01-03T00:00:00.000Z,-43.346963280000,-21.737261010000,"Rua Américo Lobo, 2011"
