routeshortname,routelongname,stopid,departuretime,stopsequence,boarding,landing,occupation,day,stop_lon,stop_lat,horario,stopname
301,Usina Quatro,10070896,06:30,1,0,0,0,2024-11-01,-43.34838104,-21.75691414,06:30,"Rua São Sebastião, 437"
301,Usina Quatro,10071112,06:30,2,5,0,5,2024-11-01,-43.34580994,-21.7608242,06:34:19,"Avenida Getúlio Vargas, 367"
301,Usina Quatro,10072027,06:30,3,0,0,5,2024-11-01,-43.34204865,-21.76272964,06:37:19,"Rua Espírito Santo, 393"
301,Usina Quatro,10072491,06:30,4,0,0,5,2024-11-01,-43.3402282,-21.76382606,06:37:59,"Rua Osório de Almeida, 184"
301,Usina Quatro,10072486,06:30,5,0,0,5,2024-11-01,-43.33755365,-21.76595495,06:39:19,"Praça Pantaleone Arcuri Neto, 20 - Cemitério Municipal"
301,Usina Quatro,10072318,06:30,6,0,0,5,2024-11-01,-43.33715198,-21.76951769,06:39:59,"Rua Osório de Almeida, 22"
301,Usina Quatro,10072323,06:30,7,0,0,5,2024-11-01,-43.33628927,-21.76963475,06:40:19,"Avenida Francisco Valadares, 70"
301,Usina Quatro,10072325,06:30,8,0,0,5,2024-11-01,-43.33524288,-21.76955076,06:40:39,"Avenida Francisco Valadares, 210"
301,Usina Quatro,10072330,06:30,9,0,1,4,2024-11-01,-43.33277922,-21.76949057,06:40:59,"Avenida Francisco Valadares, 470"
301,Usina Quatro,10072299,06:30,10,0,0,4,2024-11-01,-43.32999873,-21.77253182,06:41:59,"Avenida Francisco Valadares, 1030"
301,Usina Quatro,10072294,06:30,11,1,2,3,2024-11-01,-43.33085817,-21.77588355,06:43,"Avenida Francisco Valadares, 1300"
301,Usina Quatro,10072304,06:30,12,0,3,0,2024-11-01,-43.33010864,-21.77744102,06:43:32,"Avenida Francisco Valadares, 1808"
301,Usina Quatro,10072311,06:30,13,0,0,0,2024-11-01,-43.32868576,-21.77772522,06:44:20,"Avenida Francisco Valadares, 1930"
301,Usina Quatro,10072307,06:30,14,1,0,1,2024-11-01,-43.32743269,-21.77802965,06:44:40,"Avenida Francisco Valadares, 2104"
301,Usina Quatro,10072361,06:30,15,0,0,1,2024-11-01,-43.32593078,-21.77835321,06:45:20,"Avenida Francisco Valadares, 2250"
301,Usina Quatro,10072355,06:30,16,1,0,2,2024-11-01,-43.32353997,-21.77823881,06:45:40,"Avenida Francisco Valadares, 2780"
301,Usina Quatro,10072378,06:30,17,0,0,2,2024-11-01,-43.3218525,-21.77908332,06:46:20,"Avenida Francisco Valadares, 2750"
301,Usina Quatro,10072374,06:30,18,0,0,2,2024-11-01,-43.32276917,-21.78188101,06:46:57,"Avenida Francisco Valadares, 2298"
301,Usina Quatro,10072385,06:30,19,0,0,2,2024-11-01,-43.32326889,-21.78620529,06:47:40,BR-267 leste
301,Usina Quatro,10072381,06:30,20,0,0,2,2024-11-01,-43.32539749,-21.78920407,06:48:40,BR-267 leste
